"a" "b" "c" "d" "e" "f" "g" "h" "i" "j" "k" "l" "m" "n" "o" "p"
"29" 5 0 1 0 0 3 0 0 5 0 0 0 0 0 0 0
"30" 0 3 0 0 2 0 0 0 5 0 0 0 2 4 0 0
"31" 0 0 0 0 0 4 0 0 4 2 0 0 0 0 0 0
"32" 0 5 2 0 5 0 0 2 0 0 0 0 0 0 0 0
"33" 0 3 0 0 1 0 0 0 2 0 0 0 1 0 0 0
"34" 0 0 0 0 1 0 0 0 0 4 0 0 4 0 0 0
"35" 0 0 0 0 5 0 3 0 0 3 0 0 5 3 0 0
"36" 2 0 1 2 3 0 5 0 4 0 0 4 0 4 4 1
"37" 0 0 0 0 0 2 0 1 0 4 0 0 0 0 5 0
"38" 1 3 0 0 0 0 5 0 5 2 0 0 0 4 0 0
"39" 0 3 0 0 5 5 0 4 0 0 0 0 0 4 0 0
"40" 1 4 4 0 0 0 0 0 0 2 0 0 0 1 0 0
"41" 0 0 0 0 0 0 0 3 0 4 0 5 2 0 0 5
"42" 5 1 0 4 0 0 0 0 0 0 3 0 0 0 0 0
"43" 4 0 0 5 0 1 0 0 0 0 1 0 0 0 0 0
"44" 0 0 0 5 5 0 0 0 0 0 0 0 0 0 0 3
"45" 0 0 4 0 0 5 3 0 0 5 4 0 3 0 0 2
"46" 0 5 1 4 5 0 0 0 0 0 0 0 0 0 0 2
"47" 0 0 0 0 0 3 4 0 0 0 0 0 2 5 0 0
"48" 0 3 0 0 2 0 0 2 0 4 4 4 5 0 0 3
"49" 0 4 0 0 0 0 0 0 0 0 0 0 2 0 4 1
"50" 0 2 0 0 0 0 0 0 0 3 0 1 4 0 0 1
"51" 0 0 5 0 0 0 0 3 0 0 0 0 1 0 4 2
"52" 4 4 4 0 5 5 4 0 0 3 0 0 0 0 0 0
"53" 0 0 0 1 0 1 3 0 0 0 2 0 4 0 1 0
"54" 2 2 3 4 4 0 2 0 3 0 0 5 0 1 1 0
"55" 5 0 0 1 0 0 0 5 5 4 0 2 1 0 0 0
"56" 2 0 4 0 0 5 0 3 0 0 5 0 0 1 0 0
"57" 0 0 3 4 0 4 0 0 0 0 0 4 0 0 2 3
"58" 0 2 0 0 0 0 5 0 0 0 0 0 0 4 0 0
"59" 0 0 0 0 0 4 0 0 0 0 0 0 4 0 4 0
"60" 0 0 0 0 4 1 2 0 0 0 4 2 5 0 5 0
"61" 0 0 0 0 0 0 0 2 3 0 2 0 0 0 0 0
"62" 0 0 0 0 0 2 0 0 0 0 0 0 0 3 0 4
"63" 0 1 0 2 1 1 0 0 2 0 0 0 4 0 0 5
"64" 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0
"65" 0 0 0 5 0 4 0 4 0 4 0 1 0 0 0 0
"66" 4 0 0 0 0 0 2 0 0 1 0 0 0 0 2 5
"67" 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
"68" 0 5 0 0 2 0 1 5 0 0 0 0 2 4 0 0
"69" 0 0 0 0 3 3 0 0 0 0 0 0 0 1 0 0
"70" 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
"71" 0 0 0 4 0 0 0 0 0 0 0 2 0 0 4 0
"72" 2 0 0 0 0 0 0 0 0 0 0 0 1 0 3 1
"73" 5 3 3 0 2 3 0 0 0 5 0 0 0 0 0 0
"74" 0 5 0 0 4 0 0 0 1 0 0 0 2 2 0 0
"75" 0 0 0 2 0 0 3 4 0 0 0 3 0 0 0 0
"76" 3 0 5 0 1 0 3 5 5 0 0 0 2 1 0 0
"77" 4 0 0 0 0 0 0 2 0 0 4 0 5 5 2 4
"78" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 2
"79" 0 0 0 1 0 0 0 0 0 5 0 0 3 0 3 2
"80" 1 0 0 2 4 0 0 0 0 0 1 0 0 4 2 4
"81" 2 0 0 0 0 0 0 0 4 0 0 5 0 0 0 0
"82" 0 0 0 3 0 5 0 0 3 4 0 0 0 0 0 0
"83" 0 0 0 5 0 0 3 0 0 0 1 2 0 0 3 0
"84" 0 0 0 0 1 0 0 0 0 3 3 3 0 0 0 3
"85" 0 1 0 0 0 0 0 0 0 0 1 0 0 2 1 0
"86" 0 0 5 1 3 3 0 0 0 0 0 4 0 0 0 0
"87" 0 0 2 0 4 0 0 0 0 0 0 5 0 4 2 4
"88" 0 2 4 0 3 0 0 0 0 4 0 0 0 0 0 0
"89" 0 0 0 0 5 0 0 0 5 0 0 0 0 4 0 0
"90" 0 0 0 0 0 0 0 1 2 0 0 0 0 1 4 0
"91" 1 0 0 0 0 0 5 0 0 0 0 0 0 0 0 3
"92" 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0
"93" 0 5 5 0 3 4 1 3 5 0 0 5 0 1 0 0
"94" 0 0 0 0 0 0 0 5 0 0 0 4 0 0 0 0
"95" 0 0 0 2 0 0 0 0 0 0 0 5 3 0 0 3
"96" 0 0 4 0 0 0 0 0 0 2 0 0 0 0 1 0
"97" 0 0 0 0 5 0 5 0 1 0 5 0 0 0 5 0
"98" 2 0 0 0 4 3 1 0 3 0 0 0 0 0 2 0
"99" 4 0 0 0 0 4 0 4 0 2 0 0 0 0 0 0
"100" 0 1 3 0 0 2 3 3 4 0 3 4 0 0 0 4
