Invoice,StockCode
153,X1113,m118
154,X1156,m115
155,X1030,m119
156,X1013,m115
157,X1099,m109
158,X1135,m111
159,X1071,m103
160,X1186,m103
161,X1075,m103
162,X1117,m115
163,X1104,m119
164,X1109,m120
165,X1096,m107
166,X1140,m118
167,X1082,m106
168,X1150,m110
169,X1043,m117
170,X1184,m114
171,X1039,m119
172,X1192,m115
173,X1050,m105
174,X1068,m111
175,X1052,m103
176,X1095,m103
177,X1074,m105
178,X1129,m101
179,X1041,m101
180,X1075,m107
181,X1025,m106
182,X1099,m104
183,X1087,m101
184,X1072,m118
185,X1158,m120
186,X1108,m114
187,X1163,m104
188,X1018,m108
189,X1119,m112
190,X1100,m115
191,X1125,m109
192,X1182,m113
193,X1099,m108
194,X1141,m116
195,X1035,m103
196,X1055,m103
197,X1104,m101
198,X1176,m106
199,X1067,m108
200,X1048,m117
201,X1090,m117
202,X1104,m113
203,X1035,m108
204,X1114,m115
205,X1187,m120
206,X1141,m118
207,X1192,m117
208,X1083,m113
209,X1133,m119
210,X1085,m114
211,X1034,m111
212,X1169,m107
213,X1032,m112
214,X1119,m118
215,X1188,m115
216,X1002,m103
217,X1143,m109
218,X1187,m117
219,X1142,m103
220,X1195,m110
221,X1029,m102
222,X1189,m102
223,X1183,m105
224,X1033,m113
225,X1162,m104
226,X1157,m114
227,X1042,m113
228,X1101,m106
229,X1016,m113
230,X1069,m103
231,X1140,m117
232,X1193,m109
233,X1076,m107
234,X1044,m117
235,X1127,m115
236,X1023,m120
237,X1152,m112
238,X1019,m104
239,X1016,m105
240,X1125,m114
241,X1178,m112
242,X1163,m118
243,X1036,m107
244,X1164,m106
245,X1186,m106
246,X1007,m115
247,X1141,m108
248,X1125,m110
249,X1020,m109
250,X1178,m113
251,X1117,m101
252,X1058,m116
253,X1140,m101
254,X1190,m116
255,X1050,m110
256,X1053,m102
257,X1163,m120
258,X1091,m119
259,X1033,m114
260,X1020,m111
261,X1077,m108
262,X1138,m109
263,X1103,m101
264,X1059,m120
265,X1012,m115
266,X1124,m102
267,X1030,m102
268,X1028,m117
269,X1055,m120
270,X1162,m115
271,X1076,m116
272,X1061,m107
273,X1147,m106
274,X1150,m108
275,X1065,m108
276,X1042,m103
277,X1175,m103
278,X1023,m101
279,X1037,m109
280,X1034,m105
281,X1064,m115
282,X1157,m107
283,X1073,m119
284,X1032,m103
285,X1130,m112
286,X1022,m110
287,X1054,m113
288,X1015,m105
289,X1148,m112
290,X1037,m118
291,X1197,m113
292,X1021,m105
293,X1105,m105
294,X1030,m116
295,X1007,m115
296,X1091,m101
297,X1200,m106
298,X1101,m108
299,X1149,m102
300,X1090,m120
301,X1159,m109
302,X1155,m118
303,X1010,m118
304,X1160,m105
305,X1083,m114
306,X1161,m116
307,X1187,m119
308,X1061,m120
309,X1106,m115
310,X1127,m106
311,X1069,m110
312,X1191,m120
313,X1147,m119
314,X1030,m106
315,X1014,m114
316,X1119,m101
317,X1069,m102
318,X1072,m110
319,X1181,m106
320,X1085,m114
321,X1164,m118
322,X1041,m109
323,X1096,m107
324,X1141,m111
325,X1019,m110
326,X1147,m102
327,X1142,m110
328,X1108,m110
329,X1174,m120
330,X1041,m115
331,X1111,m107
332,X1194,m113
333,X1137,m101
334,X1176,m118
335,X1061,m115
336,X1194,m106
337,X1021,m110
338,X1066,m120
339,X1147,m116
340,X1179,m111
341,X1050,m107
342,X1038,m108
343,X1067,m115
344,X1156,m105
345,X1138,m117
346,X1185,m119
347,X1114,m109
348,X1111,m115
349,X1001,m109
350,X1171,m110
351,X1078,m108
352,X1161,m109
353,X1119,m104
354,X1199,m115
355,X1117,m114
356,X1198,m117
357,X1078,m118
358,X1101,m120
359,X1069,m108
360,X1059,m105
361,X1074,m107
362,X1025,m108
363,X1027,m109
364,X1062,m113
365,X1109,m120
366,X1133,m109
367,X1123,m110
368,X1126,m102
369,X1054,m107
370,X1025,m104
371,X1031,m104
372,X1160,m112
373,X1122,m117
374,X1145,m119
375,X1155,m117
376,X1128,m119
377,X1198,m109
378,X1131,m118
379,X1001,m117
380,X1117,m104
381,X1072,m113
382,X1135,m105
383,X1023,m119
384,X1057,m111
385,X1147,m118
386,X1170,m116
387,X1185,m110
388,X1058,m111
389,X1022,m110
390,X1024,m106
391,X1194,m116
392,X1138,m107
393,X1177,m111
394,X1091,m118
395,X1159,m116
396,X1143,m117
397,X1056,m111
398,X1096,m116
399,X1171,m103
400,X1187,m103
401,X1146,m109
402,X1174,m118
403,X1096,m115
404,X1025,m107
405,X1021,m101
406,X1088,m103
407,X1027,m101
408,X1168,m116
409,X1122,m118
410,X1147,m105
411,X1060,m112
412,X1193,m120
413,X1081,m108
414,X1164,m102
415,X1088,m107
416,X1103,m120
417,X1194,m101
418,X1087,m102
419,X1038,m116
420,X1044,m107
421,X1127,m120
422,X1116,m108
423,X1083,m119
424,X1094,m116
425,X1055,m113
426,X1110,m104
427,X1047,m113
428,X1179,m101
429,X1127,m109
430,X1176,m101
431,X1038,m105
432,X1096,m110
433,X1042,m106
434,X1050,m118
435,X1152,m112
436,X1029,m111
437,X1174,m104
438,X1173,m106
439,X1078,m109
440,X1159,m120
441,X1143,m106
442,X1097,m107
443,X1160,m117
444,X1120,m119
445,X1051,m101
446,X1032,m119
447,X1051,m115
448,X1172,m120
449,X1137,m106
450,X1182,m111
451,X1059,m114
452,X1094,m120
453,X1148,m105
454,X1160,m102
455,X1025,m105
456,X1137,m115
457,X1103,m116
458,X1173,m116
459,X1120,m105
460,X1157,m105
461,X1058,m115
462,X1054,m108
463,X1161,m108
464,X1200,m114
465,X1016,m114
466,X1184,m106
467,X1135,m117
468,X1061,m119
469,X1038,m104
470,X1065,m102
471,X1015,m120
472,X1182,m103
473,X1189,m114
474,X1148,m115
475,X1014,m107
476,X1117,m117
477,X1019,m105
478,X1056,m110
479,X1071,m111
480,X1045,m106
481,X1123,m114
482,X1099,m115
483,X1027,m115
484,X1095,m114
485,X1090,m105
486,X1136,m117
487,X1064,m103
488,X1142,m108
489,X1174,m102
490,X1123,m104
491,X1173,m112
492,X1022,m112
493,X1164,m108
494,X1100,m105
495,X1163,m118
496,X1116,m120
497,X1165,m118
498,X1125,m120
499,X1112,m111
500,X1125,m118
501,X1168,m110
502,X1130,m115
503,X1129,m118
504,X1034,m115
505,X1030,m105
506,X1080,m109
507,X1185,m117
508,X1047,m113
509,X1171,m116
510,X1199,m117
511,X1012,m103
512,X1158,m102
513,X1086,m109
514,X1128,m119
515,X1089,m107
516,X1064,m120
517,X1017,m103
518,X1163,m118
519,X1071,m105
520,X1071,m116
521,X1082,m109
522,X1012,m112
523,X1074,m111
524,X1160,m110
525,X1085,m107
526,X1018,m116
527,X1160,m119
528,X1008,m115
529,X1048,m105
530,X1157,m109
531,X1056,m103
532,X1011,m114
533,X1197,m112
534,X1127,m119
535,X1104,m107
536,X1140,m120
537,X1091,m108
538,X1162,m112
539,X1007,m104
540,X1190,m114
541,X1172,m104
542,X1070,m107
543,X1074,m111
544,X1088,m105
545,X1072,m105
546,X1109,m107
547,X1116,m103
548,X1161,m106
549,X1006,m110
550,X1034,m101
551,X1105,m101
552,X1166,m118
553,X1037,m116
554,X1112,m116
555,X1007,m116
556,X1113,m113
557,X1169,m112
558,X1079,m107
559,X1047,m118
560,X1196,m113
561,X1146,m110
562,X1161,m106
563,X1134,m118
564,X1031,m112
565,X1061,m110
566,X1165,m108
567,X1196,m119
568,X1070,m119
569,X1104,m119
570,X1125,m107
571,X1134,m103
572,X1014,m101
573,X1083,m116
574,X1092,m115
575,X1053,m111
576,X1122,m115
577,X1058,m103
578,X1194,m116
579,X1082,m114
580,X1137,m112
581,X1065,m103
582,X1108,m104
583,X1091,m112
584,X1199,m104
585,X1098,m108
586,X1011,m113
587,X1175,m119
588,X1169,m119
589,X1178,m115
590,X1021,m110
591,X1126,m117
592,X1140,m119
593,X1109,m117
594,X1041,m116
595,X1063,m117
596,X1121,m113
597,X1155,m110
598,X1002,m101
599,X1010,m116
600,X1150,m113
601,X1014,m120
602,X1158,m101
603,X1101,m104
604,X1066,m115
605,X1074,m118
606,X1108,m106
607,X1064,m118
608,X1148,m120
609,X1076,m114
610,X1080,m102
611,X1085,m105
612,X1066,m102
613,X1029,m107
614,X1155,m108
615,X1080,m114
616,X1172,m112
617,X1071,m105
618,X1192,m116
619,X1125,m113
620,X1163,m102
621,X1090,m104
622,X1012,m111
623,X1116,m115
624,X1115,m112
625,X1022,m115
626,X1054,m116
627,X1041,m109
628,X1033,m113
629,X1139,m114
630,X1116,m109
631,X1077,m120
632,X1169,m109
633,X1105,m103
634,X1181,m103
635,X1083,m103
636,X1160,m103
637,X1189,m109
638,X1076,m105
639,X1081,m104
640,X1128,m115
641,X1033,m113
642,X1179,m118
643,X1166,m105
644,X1005,m103
645,X1164,m101
646,X1186,m112
647,X1065,m101
648,X1152,m113
649,X1102,m114
650,X1125,m118
651,X1026,m111
652,X1142,m104
653,X1172,m104
654,X1066,m108
655,X1177,m117
656,X1104,m117
657,X1074,m118
658,X1107,m114
659,X1156,m107
660,X1196,m112
661,X1036,m117
662,X1110,m102
663,X1162,m110
664,X1200,m104
665,X1107,m118
666,X1094,m106
667,X1005,m113
668,X1181,m119
669,X1078,m113
670,X1125,m118
671,X1163,m111
672,X1034,m104
673,X1083,m114
674,X1193,m105
675,X1047,m111
676,X1190,m110
677,X1173,m120
678,X1198,m105
679,X1022,m101
680,X1168,m105
681,X1062,m114
682,X1134,m116
683,X1164,m116
684,X1054,m108
685,X1015,m118
686,X1154,m105
687,X1125,m117
688,X1055,m119
689,X1055,m114
690,X1112,m115
691,X1058,m110
692,X1116,m112
693,X1094,m116
694,X1023,m101
695,X1165,m105
696,X1114,m120
697,X1130,m116
698,X1165,m112
699,X1174,m110
700,X1146,m109
701,X1091,m114
702,X1018,m110
703,X1139,m101
704,X1158,m113
705,X1087,m107
706,X1034,m112
707,X1009,m120
708,X1129,m111
709,X1180,m117
710,X1008,m117
711,X1193,m115
712,X1118,m105
713,X1057,m117
714,X1087,m106
715,X1191,m113
716,X1167,m116
717,X1044,m106
718,X1031,m105
719,X1129,m116
720,X1053,m115
721,X1147,m111
722,X1046,m102
723,X1049,m105
724,X1112,m114
725,X1153,m103
726,X1179,m118
727,X1175,m113
728,X1029,m102
729,X1113,m108
730,X1102,m107
731,X1039,m111
732,X1035,m106
733,X1162,m112
734,X1157,m115
735,X1091,m105
736,X1133,m107
737,X1188,m104
738,X1061,m115
739,X1078,m116
740,X1080,m115
741,X1087,m105
742,X1164,m114
743,X1185,m109
744,X1084,m113
745,X1128,m114
746,X1019,m101
747,X1114,m107
748,X1183,m101
749,X1014,m117
750,X1192,m105
751,X1007,m101
752,X1124,m116
753,X1111,m116
754,X1057,m104
755,X1061,m117
756,X1199,m116
757,X1198,m110
758,X1098,m119
759,X1033,m114
760,X1012,m118
761,X1070,m112
762,X1167,m115
763,X1059,m118
764,X1028,m110
765,X1097,m114
766,X1044,m113
767,X1130,m113
768,X1101,m105
769,X1183,m117
770,X1109,m115
771,X1115,m103
772,X1028,m107
773,X1101,m113
774,X1142,m102
775,X1024,m107
776,X1199,m108
777,X1033,m104
778,X1063,m109
779,X1179,m104
780,X1024,m106
781,X1188,m107
782,X1017,m118
783,X1158,m109
784,X1114,m106
785,X1006,m117
786,X1100,m113
787,X1068,m118
788,X1066,m113
789,X1067,m112
790,X1158,m118
791,X1137,m104
792,X1011,m102
793,X1105,m120
794,X1007,m114
795,X1188,m116
796,X1108,m114
797,X1143,m112
798,X1023,m103
799,X1073,m103
800,X1135,m101
801,X1143,m115
802,X1145,m119
803,X1101,m120
804,X1154,m111
805,X1033,m109
806,X1081,m104
807,X1116,m106
808,X1118,m108
809,X1119,m102
810,X1031,m103
811,X1167,m102
812,X1079,m118
813,X1003,m101
814,X1165,m106
815,X1095,m117
816,X1185,m116
817,X1085,m117
818,X1109,m102
819,X1092,m118
820,X1150,m112
821,X1019,m102
822,X1193,m111
823,X1048,m107
824,X1148,m105
825,X1194,m106
826,X1020,m117
827,X1001,m115
828,X1068,m101
829,X1113,m109
830,X1189,m107
831,X1122,m106
832,X1124,m110
833,X1041,m107
834,X1037,m114
835,X1135,m119
836,X1133,m120
837,X1031,m105
838,X1178,m109
839,X1189,m117
840,X1090,m114
841,X1119,m109
842,X1061,m108
843,X1098,m113
844,X1098,m119
845,X1112,m119
846,X1107,m107
847,X1140,m103
848,X1098,m112
849,X1114,m113
850,X1053,m120
851,X1031,m109
852,X1182,m105
853,X1143,m102
854,X1158,m104
855,X1147,m102
856,X1192,m118
857,X1186,m103
858,X1160,m111
859,X1123,m115
860,X1137,m103
861,X1030,m113
862,X1159,m111
863,X1122,m109
864,X1031,m111
865,X1045,m113
866,X1188,m112
867,X1131,m102
868,X1189,m108
869,X1061,m104
870,X1074,m115
871,X1140,m103
872,X1050,m107
873,X1190,m115
874,X1123,m110
875,X1170,m102
876,X1059,m104
877,X1033,m120
878,X1138,m108
879,X1168,m116
880,X1091,m106
881,X1032,m110
882,X1068,m115
883,X1075,m112
884,X1138,m105
885,X1101,m110
886,X1004,m113
887,X1050,m104
888,X1103,m111
889,X1109,m103
890,X1194,m106
891,X1027,m117
892,X1151,m120
893,X1114,m115
894,X1007,m104
895,X1168,m118
896,X1036,m111
897,X1134,m120
898,X1014,m110
899,X1157,m106
900,X1096,m113
901,X1161,m106
902,X1033,m107
903,X1106,m119
904,X1159,m118
905,X1199,m111
906,X1106,m107
907,X1129,m103
908,X1144,m103
909,X1078,m106
910,X1199,m117
911,X1019,m103
912,X1126,m102
913,X1139,m116
914,X1084,m102
915,X1050,m117
916,X1028,m112
917,X1083,m118
918,X1085,m109
919,X1156,m101
920,X1129,m102
921,X1062,m118
922,X1069,m115
923,X1024,m101
924,X1001,m118
925,X1131,m115
926,X1046,m119
927,X1110,m115
928,X1196,m108
929,X1118,m107
930,X1009,m106
931,X1137,m101
932,X1114,m116
933,X1055,m120
934,X1137,m101
935,X1034,m112
936,X1011,m113
937,X1139,m101
938,X1001,m104
939,X1135,m118
940,X1199,m107
941,X1190,m117
942,X1138,m120
943,X1141,m106
944,X1116,m117
945,X1076,m104
946,X1197,m117
947,X1086,m116
948,X1141,m107
949,X1185,m113
950,X1145,m117
951,X1160,m105
952,X1140,m106
953,X1018,m102
954,X1010,m101
955,X1036,m106
956,X1192,m105
957,X1144,m101
958,X1017,m105
959,X1010,m106
960,X1023,m102
961,X1148,m112
962,X1044,m101
963,X1005,m115
964,X1175,m113
965,X1189,m115
966,X1057,m112
967,X1014,m109
968,X1056,m102
969,X1003,m116
970,X1195,m103
971,X1021,m113
972,X1199,m108
973,X1073,m106
974,X1164,m108
975,X1074,m111
976,X1038,m120
977,X1182,m111
978,X1007,m103
979,X1157,m105
980,X1031,m119
981,X1129,m106
982,X1075,m105
983,X1197,m118
984,X1060,m110
985,X1130,m107
986,X1140,m114
987,X1051,m115
988,X1091,m112
989,X1119,m117
990,X1127,m102
991,X1039,m103
992,X1138,m107
993,X1185,m116
994,X1070,m108
995,X1135,m119
996,X1042,m113
997,X1085,m116
998,X1106,m104
999,X1044,m101
1000,X1126,m109
1001,X1032,m105
1002,X1047,m107
1003,X1059,m106
1004,X1112,m101
1005,X1113,m108
1006,X1153,m116
1007,X1171,m103
1008,X1053,m108
1009,X1122,m111
1010,X1131,m113
1011,X1048,m101
1012,X1119,m111
1013,X1145,m116
1014,X1080,m108
1015,X1036,m113
1016,X1081,m115
1017,X1171,m115
1018,X1031,m113
1019,X1096,m114
1020,X1048,m103
1021,X1183,m101
1022,X1176,m107
1023,X1112,m119
1024,X1044,m116
1025,X1014,m114
1026,X1115,m105
1027,X1055,m113
1028,X1025,m103
1029,X1088,m103
1030,X1032,m106
1031,X1170,m103
1032,X1096,m109
1033,X1059,m118
1034,X1149,m108
1035,X1034,m103
1036,X1108,m116
1037,X1134,m116
1038,X1193,m112
1039,X1108,m115
1040,X1112,m112
1041,X1173,m104
1042,X1075,m113
1043,X1134,m120
1044,X1074,m110
1045,X1123,m106
1046,X1035,m109
1047,X1155,m111
1048,X1019,m111
1049,X1182,m119
1050,X1113,m101
1051,X1082,m119
1052,X1084,m110
1053,X1044,m107
1054,X1197,m116
1055,X1176,m116
1056,X1196,m111
1057,X1113,m110
1058,X1090,m101
1059,X1137,m113
1060,X1029,m113
1061,X1188,m111
1062,X1173,m113
1063,X1002,m109
1064,X1187,m101
1065,X1124,m113
1066,X1074,m115
1067,X1180,m106
1068,X1181,m106
1069,X1124,m113
1070,X1146,m117
1071,X1120,m110
1072,X1082,m113
1073,X1045,m118
1074,X1138,m106
1075,X1194,m105
1076,X1060,m117
1077,X1081,m109
1078,X1024,m118
1079,X1011,m119
1080,X1155,m104
1081,X1120,m103
1082,X1178,m106
1083,X1007,m119
1084,X1082,m116
1085,X1032,m101
1086,X1166,m108
1087,X1020,m116
1088,X1161,m107
1089,X1022,m119
1090,X1074,m107
1091,X1002,m108
1092,X1043,m111
1093,X1039,m101
1094,X1152,m118
1095,X1161,m114
1096,X1076,m112
1097,X1108,m105
1098,X1071,m111
1099,X1017,m101
1100,X1121,m113
1101,X1039,m113
1102,X1126,m120
1103,X1193,m114
1104,X1027,m104
1105,X1163,m116
1106,X1151,m114
1107,X1088,m112
1108,X1043,m118
1109,X1027,m114
1110,X1011,m107
1111,X1080,m106
1112,X1102,m116
1113,X1191,m109
1114,X1142,m101
1115,X1079,m102
1116,X1115,m115
1117,X1164,m109
1118,X1160,m103
1119,X1062,m109
1120,X1032,m119
1121,X1155,m106
1122,X1173,m105
1123,X1197,m109
1124,X1197,m104
1125,X1163,m110
1126,X1117,m117
1127,X1137,m119
1128,X1016,m111
1129,X1033,m114
1130,X1157,m114
1131,X1006,m117
1132,X1023,m120
1133,X1048,m102
1134,X1107,m107
1135,X1159,m116
1136,X1141,m108
1137,X1186,m106
1138,X1133,m113
1139,X1113,m106
1140,X1157,m114
1141,X1109,m119
1142,X1190,m106
1143,X1142,m104
1144,X1075,m105
1145,X1136,m106
1146,X1106,m105
1147,X1178,m116
1148,X1075,m117
1149,X1029,m109
1150,X1104,m117
1151,X1003,m103
1152,X1145,m119
1153,X1077,m108
1154,X1181,m114
1155,X1142,m108
1156,X1114,m118
1157,X1073,m114
1158,X1095,m102
1159,X1069,m109
1160,X1163,m120
1161,X1178,m119
1162,X1143,m107
1163,X1063,m120
1164,X1034,m111
1165,X1139,m117
1166,X1193,m118
1167,X1106,m117
1168,X1023,m110
1169,X1023,m114
1170,X1187,m110
1171,X1082,m110
1172,X1101,m117
1173,X1191,m103
1174,X1160,m117
1175,X1072,m105
1176,X1040,m107
1177,X1143,m101
1178,X1007,m111
1179,X1141,m104
1180,X1086,m119
1181,X1019,m102
1182,X1190,m117
1183,X1197,m118
1184,X1050,m120
1185,X1029,m103
1186,X1130,m102
1187,X1096,m105
1188,X1101,m109
1189,X1084,m104
1190,X1146,m118
1191,X1100,m118
1192,X1125,m103
1193,X1116,m113
1194,X1127,m108
1195,X1145,m101
1196,X1086,m110
1197,X1131,m120
1198,X1037,m105
1199,X1024,m113
1200,X1096,m115
1201,X1037,m114
1202,X1135,m113
1203,X1049,m111
1204,X1023,m118
1205,X1041,m112
1206,X1134,m109
1207,X1140,m101
1208,X1070,m112
1209,X1125,m104
1210,X1175,m101
1211,X1089,m106
1212,X1031,m106
1213,X1122,m103
1214,X1021,m120
1215,X1055,m102
1216,X1042,m109
1217,X1147,m109
1218,X1162,m103
1219,X1039,m119
1220,X1084,m104
1221,X1006,m106
1222,X1077,m106
1223,X1041,m114
1224,X1156,m112
1225,X1199,m117
1226,X1113,m119
1227,X1002,m110
1228,X1068,m114
1229,X1109,m110
1230,X1123,m106
1231,X1096,m101
1232,X1171,m117
1233,X1190,m104
1234,X1113,m109
1235,X1101,m116
1236,X1158,m105
1237,X1055,m116
1238,X1052,m111
1239,X1151,m107
1240,X1028,m115
1241,X1106,m112
1242,X1132,m101
1243,X1069,m103
1244,X1141,m104
1245,X1125,m118
1246,X1184,m108
1247,X1151,m108
1248,X1173,m104
1249,X1192,m116
1250,X1194,m107
1251,X1114,m113
1252,X1005,m116
1253,X1173,m115
1254,X1188,m106
1255,X1161,m108
1256,X1122,m114
1257,X1029,m108
1258,X1058,m119
1259,X1152,m106
1260,X1010,m101
1261,X1025,m112
1262,X1065,m115
1263,X1010,m115
1264,X1155,m107
1265,X1104,m119
1266,X1092,m113
1267,X1025,m107
1268,X1117,m106
1269,X1150,m112
1270,X1003,m109
1271,X1026,m111
1272,X1023,m103
1273,X1126,m113
1274,X1198,m113
1275,X1172,m109
1276,X1009,m111
1277,X1031,m116
1278,X1157,m103
1279,X1171,m114
1280,X1040,m119
1281,X1102,m120
1282,X1181,m103
1283,X1039,m108
1284,X1080,m114
1285,X1175,m110
1286,X1021,m110
1287,X1018,m118
1288,X1106,m115
1289,X1051,m118
1290,X1027,m116
1291,X1150,m112
1292,X1108,m102
1293,X1036,m107
1294,X1139,m103
1295,X1118,m107
1296,X1055,m110
1297,X1049,m111
1298,X1045,m101
1299,X1013,m111
1300,X1143,m109
1301,X1177,m113
1302,X1188,m115
1303,X1121,m109
1304,X1017,m109
1305,X1020,m109
1306,X1013,m103
1307,X1120,m104
1308,X1149,m103
1309,X1141,m120
1310,X1016,m111
1311,X1120,m104
1312,X1171,m115
1313,X1161,m120
1314,X1099,m104
1315,X1020,m108
1316,X1153,m110
1317,X1152,m116
1318,X1192,m103
1319,X1098,m120
1320,X1093,m118
1321,X1061,m120
1322,X1013,m103
1323,X1116,m112
1324,X1114,m120
1325,X1128,m117
1326,X1017,m120
1327,X1023,m111
1328,X1053,m107
1329,X1178,m120
1330,X1110,m109
1331,X1092,m110
1332,X1170,m102
1333,X1006,m116
1334,X1112,m116
1335,X1075,m110
1336,X1183,m102
1337,X1181,m113
1338,X1158,m112
1339,X1036,m120
1340,X1049,m105
1341,X1119,m109
1342,X1160,m102
1343,X1086,m119
1344,X1123,m116
1345,X1020,m111
1346,X1046,m108
1347,X1154,m118
1348,X1127,m103
1349,X1134,m105
1350,X1107,m105
1351,X1114,m101
1352,X1097,m115
1353,X1030,m108
1354,X1123,m109
1355,X1117,m110
1356,X1058,m110
1357,X1191,m112
1358,X1185,m110
1359,X1132,m111
1360,X1189,m105
1361,X1064,m120
1362,X1110,m101
1363,X1040,m110
1364,X1109,m116
1365,X1152,m117
1366,X1136,m118
1367,X1034,m116
1368,X1020,m114
1369,X1042,m102
1370,X1116,m115
1371,X1082,m119
1372,X1109,m105
1373,X1116,m105
1374,X1163,m106
1375,X1082,m120
1376,X1181,m117
1377,X1070,m115
1378,X1158,m113
1379,X1115,m106
1380,X1164,m104
1381,X1148,m101
1382,X1125,m120
1383,X1075,m104
1384,X1078,m113
1385,X1058,m106
1386,X1134,m105
1387,X1156,m117
1388,X1152,m110
1389,X1158,m114
1390,X1067,m116
1391,X1094,m102
1392,X1141,m113
1393,X1189,m103
1394,X1119,m104
1395,X1119,m114
1396,X1157,m120
1397,X1177,m116
1398,X1073,m118
1399,X1196,m116
1400,X1195,m108
1401,X1026,m102
1402,X1137,m115
1403,X1059,m119
1404,X1024,m105
1405,X1050,m105
1406,X1019,m103
1407,X1187,m103
1408,X1127,m116
1409,X1131,m119
1410,X1090,m102
1411,X1051,m104
1412,X1137,m116
1413,X1006,m120
1414,X1178,m115
1415,X1052,m111
1416,X1169,m118
1417,X1080,m118
1418,X1162,m117
1419,X1125,m109
1420,X1092,m115
1421,X1014,m111
1422,X1179,m104
1423,X1150,m118
1424,X1178,m117
1425,X1016,m105
1426,X1095,m101
1427,X1057,m112
1428,X1106,m109
1429,X1088,m112
1430,X1005,m120
1431,X1017,m120
1432,X1166,m107
1433,X1133,m118
1434,X1020,m117
1435,X1056,m106
1436,X1080,m107
1437,X1142,m119
1438,X1135,m111
1439,X1045,m113
1440,X1063,m120
1441,X1180,m108
1442,X1146,m106
1443,X1093,m116
1444,X1152,m105
1445,X1105,m105
1446,X1017,m104
1447,X1084,m113
1448,X1161,m115
1449,X1074,m101
1450,X1119,m102
1451,X1108,m116
1452,X1036,m117
1453,X1198,m112
1454,X1079,m120
1455,X1189,m110
1456,X1064,m107
1457,X1141,m119
1458,X1172,m102
1459,X1186,m103
1460,X1197,m118
1461,X1194,m119
1462,X1134,m112
1463,X1018,m104
1464,X1070,m115
1465,X1102,m113
1466,X1055,m120
1467,X1086,m107
1468,X1119,m118
1469,X1101,m119
1470,X1012,m111
1471,X1171,m115
1472,X1042,m112
1473,X1070,m102
1474,X1034,m116
1475,X1083,m116
1476,X1026,m110
1477,X1170,m115
1478,X1076,m119
1479,X1016,m103
1480,X1133,m113
1481,X1002,m106
1482,X1044,m118
1483,X1101,m109
1484,X1121,m120
1485,X1162,m106
1486,X1078,m114
1487,X1178,m106
1488,X1178,m119
1489,X1088,m102
1490,X1175,m111
1491,X1015,m107
1492,X1101,m110
1493,X1047,m115
1494,X1036,m103
1495,X1032,m109
1496,X1102,m119
1497,X1199,m111
