レシートNo,日,時間,顧客ID,税抜価格,税抜単価,個数,大カテゴリ番号,大カテゴリ名,中カテゴリ番号,中カテゴリ名,小カテゴリ番号,小カテゴリ名
5,1,10,1742,360,120,3,19,菓子,1915,生菓子,191512,洋風生菓子
5,1,10,1742,360,120,3,18,惣菜,1813,弁当,181313,米飯惣菜
5,1,10,1742,260,130,2,16,加工食品,1611,その他日配食品,161112,煮豆
5,1,10,1742,155,155,1,18,惣菜,1811,惣菜,181112,スナック惣菜
5,1,10,1742,190,190,1,18,惣菜,1811,惣菜,181111,サラダ惣菜
5,1,10,1742,190,190,1,19,菓子,1915,生菓子,191513,和風生菓子
5,1,10,1742,195,195,1,12,水産,1211,塩干加工品,121117,水産塩干し
5,1,10,1742,200,200,1,15,穀物類,1512,パン,151215,調理パン
5,1,10,1742,270,270,1,16,加工食品,1617,漬物,161711,漬物
5,1,10,1742,285,285,1,18,惣菜,1811,惣菜,181111,サラダ惣菜
5,1,10,1742,350,350,1,11,農産,1111,果物,111422,その他果物
6,1,10,1588,90,45,2,11,農産,1113,野菜,111372,大葉
6,1,10,1588,60,60,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
6,1,10,1588,60,60,1,19,菓子,1912,ゼリー・プリン,191212,プリン
6,1,10,1588,70,70,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
6,1,10,1588,95,95,1,19,菓子,1916,乾菓子,191614,スナック菓子
6,1,10,1588,140,140,1,11,農産,1113,野菜,111348,ピーマン
6,1,10,1588,140,140,1,19,菓子,1912,ゼリー・プリン,191211,ゼリー
6,1,10,1588,145,145,1,11,農産,1113,野菜,111375,長葱
6,1,10,1588,465,465,1,11,農産,1111,果物,111128,メロン
7,1,10,1880,50,10,5,11,農産,1113,野菜,111363,玉葱
7,1,10,1880,45,45,1,19,菓子,1912,ゼリー・プリン,191212,プリン
7,1,10,1880,45,45,1,19,菓子,1912,ゼリー・プリン,191212,プリン
7,1,10,1880,45,45,1,19,菓子,1912,ゼリー・プリン,191212,プリン
7,1,10,1880,55,55,1,20,飲料,2014,野菜・果実飲料,201412,野菜飲料
7,1,10,1880,95,95,1,19,菓子,1912,ゼリー・プリン,191212,プリン
7,1,10,1880,50,10,5,11,農産,1113,野菜,111363,玉葱
7,1,10,1880,50,10,5,11,農産,1113,野菜,111363,玉葱
8,1,11,1079,50,10,5,11,農産,1113,野菜,111327,じゃが芋
8,1,11,1079,50,10,5,11,農産,1113,野菜,111363,玉葱
8,1,11,1079,30,30,1,16,加工食品,1614,水物,161413,豆腐
8,1,11,1079,180,90,2,11,農産,1111,果物,111121,バナナ
8,1,11,1079,120,120,1,11,農産,1113,野菜,111321,ゴーヤ
8,1,11,1079,165,165,1,19,菓子,1911,アイスクリーム,191113,マルチパックアイス
8,1,11,1079,180,180,1,19,菓子,1911,アイスクリーム,191113,マルチパックアイス
8,1,11,1079,185,185,1,11,農産,1113,野菜,111339,トマト
9,1,11,1277,35,35,1,11,農産,1113,野菜,111319,キュウリ
9,1,11,1277,55,55,1,11,農産,1113,野菜,111372,大葉
9,1,11,1277,90,90,1,11,農産,1111,果物,111121,バナナ
9,1,11,1277,90,90,1,11,農産,1113,野菜,111370,青葱
9,1,11,1277,95,95,1,13,畜産,1313,精肉加工品,131312,鶏卵
9,1,11,1277,120,120,1,18,惣菜,1813,弁当,181312,寿司惣菜
9,1,11,1277,140,140,1,15,穀物類,1512,パン,151212,ロールパン
9,1,11,1277,155,155,1,11,農産,1113,野菜,111355,みょうが
9,1,11,1277,190,190,1,20,飲料,2012,清涼飲料,201215,茶系飲料
9,1,11,1277,210,210,1,11,農産,1113,野菜,111354,ミニトマト
9,1,11,1277,285,285,1,15,穀物類,1516,麺類,151618,乾燥素麺
9,1,11,1277,340,340,1,16,加工食品,1616,調味料,161655,麺つゆ
9,1,11,1277,395,395,1,13,畜産,1313,精肉加工品,131313,ソーセージ
10,1,11,1489,85,85,1,20,飲料,2012,清涼飲料,201213,ミネラルウォーター
10,1,11,1489,190,190,1,15,穀物類,1516,麺類,151616,乾燥そば
10,1,11,1489,195,195,1,13,畜産,1313,精肉加工品,131312,鶏卵
10,1,11,1489,200,200,1,16,加工食品,1616,調味料,161634,みりん
10,1,11,1489,225,225,1,16,加工食品,1616,調味料,161622,スープベース
10,1,11,1489,340,340,1,16,加工食品,1616,調味料,161657,料理酒
11,1,11,1037,95,95,1,15,穀物類,1512,パン,151213,菓子パン
11,1,11,1037,95,95,1,15,穀物類,1512,パン,151213,菓子パン
11,1,11,1037,105,105,1,15,穀物類,1512,パン,151215,調理パン
11,1,11,1037,180,180,1,20,飲料,2014,野菜・果実飲料,201412,野菜飲料
11,1,11,1037,190,190,1,18,惣菜,1811,惣菜,181119,和風惣菜
11,1,11,1037,230,230,1,20,飲料,2014,野菜・果実飲料,201411,果実飲料
11,1,11,1037,265,265,1,20,飲料,2014,野菜・果実飲料,201411,果実飲料
11,1,11,1037,340,340,1,18,惣菜,1813,弁当,181312,寿司惣菜
11,1,11,1037,370,370,1,18,惣菜,1813,弁当,181312,寿司惣菜
12,1,11,1174,90,90,1,11,農産,1113,野菜,111371,大根
12,1,11,1174,90,90,1,11,農産,1113,野菜,111318,キャベツ
12,1,11,1174,90,90,1,11,農産,1113,野菜,111376,椎茸
12,1,11,1174,460,460,1,18,惣菜,1813,弁当,181314,弁当
12,1,11,1174,115,115,1,16,加工食品,1614,水物,161416,油揚げ
12,1,11,1174,145,145,1,11,農産,1113,野菜,111375,長葱
13,1,11,1181,35,35,1,11,農産,1113,野菜,111319,キュウリ
13,1,11,1181,55,55,1,11,農産,1113,野菜,111314,かいわれ
13,1,11,1181,55,55,1,11,農産,1113,野菜,111372,大葉
13,1,11,1181,70,70,1,11,農産,1113,野菜,111371,大根
13,1,11,1181,85,85,1,20,飲料,2014,野菜・果実飲料,201412,野菜飲料
13,1,11,1181,90,90,1,11,農産,1113,野菜,111355,みょうが
13,1,11,1181,200,100,2,12,水産,1213,鮮魚,121312,あじ
13,1,11,1181,140,140,1,20,飲料,2013,乳系飲料,201311,牛乳
13,1,11,1181,145,145,1,20,飲料,2012,清涼飲料,201215,茶系飲料
13,1,11,1181,170,170,1,16,加工食品,1618,乳製品,161816,ヨーグルト
13,1,11,1181,225,225,1,16,加工食品,1617,漬物,161711,漬物
13,1,11,1181,475,475,1,14,乾物類,1413,水産乾物,141311,海苔
14,1,12,1497,20,20,1,11,農産,1113,野菜,111356,もやし
14,1,12,1497,40,40,1,16,加工食品,1614,水物,161413,豆腐
14,1,12,1497,90,90,1,11,農産,1113,野菜,111370,青葱
14,1,12,1497,200,200,1,13,畜産,1314,精肉類,131414,その他食肉
14,1,12,1497,230,230,1,15,穀物類,1516,麺類,151616,乾燥そば
15,1,12,1732,95,95,1,20,飲料,2012,清涼飲料,201215,茶系飲料
15,1,12,1732,95,95,1,20,飲料,2013,乳系飲料,201314,乳酸菌飲料
15,1,12,1732,120,120,1,18,惣菜,1813,弁当,181313,米飯惣菜
15,1,12,1732,60,60,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
15,1,12,1732,95,95,1,20,飲料,2012,清涼飲料,201214,炭酸飲料
15,1,12,1732,95,95,1,19,菓子,1915,生菓子,191512,洋風生菓子
16,1,12,1022,45,45,1,11,農産,1113,野菜,111316,かぼちゃ
16,1,12,1022,55,55,1,11,農産,1113,野菜,111379,白菜
16,1,12,1022,90,90,1,11,農産,1113,野菜,111376,椎茸
16,1,12,1022,135,135,1,11,農産,1113,野菜,111339,トマト
16,1,12,1022,190,190,1,19,菓子,1916,乾菓子,191620,米菓
16,1,12,1022,190,190,1,19,菓子,1916,乾菓子,191620,米菓
16,1,12,1022,220,220,1,17,即席食品,1714,即席汁物,171413,即席味噌汁
16,1,12,1022,395,395,1,16,加工食品,1617,漬物,161712,梅干
16,1,12,1022,70,35,2,19,菓子,1911,アイスクリーム,191111,アイスクリーム
16,1,12,1022,105,35,3,19,菓子,1911,アイスクリーム,191111,アイスクリーム
16,1,12,1022,35,35,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
16,1,12,1022,40,40,1,16,加工食品,1614,水物,161413,豆腐
16,1,12,1022,100,50,2,19,菓子,1916,乾菓子,191621,洋風乾菓子
16,1,12,1022,50,50,1,19,菓子,1915,生菓子,191512,洋風生菓子
16,1,12,1022,60,60,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
16,1,12,1022,60,60,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
16,1,12,1022,60,60,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
16,1,12,1022,70,70,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
16,1,12,1022,75,75,1,16,加工食品,1614,水物,161414,納豆
16,1,12,1022,75,75,1,16,加工食品,1614,水物,161414,納豆
16,1,12,1022,320,80,4,19,菓子,1911,アイスクリーム,191111,アイスクリーム
16,1,12,1022,85,85,1,15,穀物類,1512,パン,151213,菓子パン
16,1,12,1022,190,95,2,20,飲料,2012,清涼飲料,201215,茶系飲料
16,1,12,1022,190,95,2,15,穀物類,1512,パン,151215,調理パン
16,1,12,1022,95,95,1,15,穀物類,1516,麺類,151612,ゆでうどん
16,1,12,1022,95,95,1,16,加工食品,1616,調味料,161660,その他調味料
16,1,12,1022,95,95,1,17,即席食品,1715,即席麺,171511,カップ麺
16,1,12,1022,100,100,1,19,菓子,1913,その他菓子,191311,その他菓子
16,1,12,1022,110,110,1,15,穀物類,1512,パン,151215,調理パン
16,1,12,1022,130,130,1,16,加工食品,1611,その他日配食品,161112,煮豆
16,1,12,1022,130,130,1,16,加工食品,1611,その他日配食品,161112,煮豆
16,1,12,1022,130,130,1,17,即席食品,1712,レトルト惣菜,171220,レトルト茶碗蒸し
16,1,12,1022,135,135,1,11,農産,1111,果物,111121,バナナ
16,1,12,1022,560,140,4,16,加工食品,1618,乳製品,161816,ヨーグルト
16,1,12,1022,145,145,1,20,飲料,2012,清涼飲料,201215,茶系飲料
16,1,12,1022,170,170,1,16,加工食品,1611,その他日配食品,161113,佃煮
16,1,12,1022,170,170,1,20,飲料,2013,乳系飲料,201311,牛乳
16,1,12,1022,190,190,1,12,水産,1211,塩干加工品,121128,わかめ
16,1,12,1022,190,190,1,16,加工食品,1614,水物,161416,油揚げ
16,1,12,1022,285,285,1,12,水産,1212,刺身類,121144,その他刺身
16,1,12,1022,285,285,1,18,惣菜,1811,惣菜,181117,揚物惣菜
16,1,12,1022,1380,460,3,18,惣菜,1813,弁当,181314,弁当
16,1,12,1022,495,495,1,16,加工食品,1616,調味料,161653,蜂蜜
16,1,12,1022,90,90,1,20,飲料,2012,清涼飲料,201214,炭酸飲料
17,1,12,1984,110,110,1,19,菓子,1912,ゼリー・プリン,191211,ゼリー
17,1,12,1984,350,350,1,18,惣菜,1813,弁当,181313,米飯惣菜
17,1,12,1984,55,55,1,19,菓子,1916,乾菓子,191620,米菓
17,1,12,1984,85,85,1,20,飲料,2012,清涼飲料,201215,茶系飲料
17,1,12,1984,110,110,1,19,菓子,1915,生菓子,191512,洋風生菓子
17,1,12,1984,120,120,1,19,菓子,1915,生菓子,191512,洋風生菓子
18,1,13,1113,95,95,1,15,穀物類,1512,パン,151213,菓子パン
18,1,13,1113,95,95,1,18,惣菜,1813,弁当,181311,パン惣菜
18,1,13,1113,105,105,1,16,加工食品,1616,調味料,161637,わさび調味料
18,1,13,1113,120,120,1,18,惣菜,1811,惣菜,181117,揚物惣菜
18,1,13,1113,240,120,2,18,惣菜,1811,惣菜,181117,揚物惣菜
18,1,13,1113,140,140,1,16,加工食品,1614,水物,161413,豆腐
18,1,13,1113,175,175,1,15,穀物類,1516,麺類,151612,ゆでうどん
18,1,13,1113,180,180,1,19,菓子,1911,アイスクリーム,191113,マルチパックアイス
18,1,13,1113,190,190,1,15,穀物類,1516,麺類,151613,ゆでそば
18,1,13,1113,190,190,1,15,穀物類,1516,麺類,151613,ゆでそば
18,1,13,1113,200,200,1,16,加工食品,1616,調味料,161655,麺つゆ
19,1,13,1703,460,460,1,18,惣菜,1813,弁当,181314,弁当
19,1,13,1703,100,100,1,21,酒類,2113,ビール類,211312,新ジャンル
19,1,13,1703,190,190,1,18,惣菜,1811,惣菜,181115,惣菜盛合せ
19,1,13,1703,95,95,1,20,飲料,2012,清涼飲料,201111,コーヒー飲料
19,1,13,1703,380,380,1,18,惣菜,1813,弁当,181314,弁当
20,1,13,1528,255,85,3,20,飲料,2013,乳系飲料,201312,豆乳
20,1,13,1528,95,95,1,20,飲料,2013,乳系飲料,201314,乳酸菌飲料
20,1,13,1528,130,130,1,18,惣菜,1811,惣菜,181111,サラダ惣菜
20,1,13,1528,190,190,1,18,惣菜,1811,惣菜,181119,和風惣菜
20,1,13,1528,270,270,1,12,水産,1212,刺身類,121144,その他刺身
20,1,13,1528,380,380,1,13,畜産,1313,精肉加工品,131314,ハムステーキ
20,1,13,1528,1695,1695,1,15,穀物類,1515,米,151511,うるち米
21,1,13,1519,180,90,2,11,農産,1113,野菜,111355,みょうが
21,1,13,1519,190,190,1,12,水産,1211,塩干加工品,121115,しらす
21,1,13,1519,225,225,1,13,畜産,1313,精肉加工品,131312,鶏卵
21,1,13,1519,265,265,1,20,飲料,2015,嗜好飲料,201518,麦茶
21,1,13,1519,360,360,1,13,畜産,1313,精肉加工品,131313,ソーセージ
21,1,13,1519,685,685,1,21,酒類,2118,日本酒,211811,清酒
21,1,13,1519,950,950,1,12,水産,1212,刺身類,121217,刺身盛合せ
22,1,13,1939,95,95,1,16,加工食品,1618,乳製品,161816,ヨーグルト
22,1,13,1939,100,100,1,17,即席食品,1714,即席汁物,171413,即席味噌汁
22,1,13,1939,100,100,1,18,惣菜,1813,弁当,181311,パン惣菜
22,1,13,1939,150,150,1,18,惣菜,1811,惣菜,181116,中華惣菜
22,1,13,1939,180,180,1,18,惣菜,1813,弁当,181311,パン惣菜
22,1,13,1939,180,180,1,18,惣菜,1813,弁当,181311,パン惣菜
22,1,13,1939,205,205,1,18,惣菜,1813,弁当,181311,パン惣菜
23,1,13,1977,20,20,1,11,農産,1113,野菜,111356,もやし
23,1,13,1977,90,90,1,11,農産,1113,野菜,111376,椎茸
23,1,13,1977,95,95,1,11,農産,1113,野菜,111341,なめこ
23,1,13,1977,95,95,1,13,畜産,1313,精肉加工品,131312,鶏卵
23,1,13,1977,190,95,2,20,飲料,2012,清涼飲料,201215,茶系飲料
23,1,13,1977,145,145,1,11,農産,1111,果物,111128,メロン
23,1,13,1977,165,165,1,11,農産,1113,野菜,111354,ミニトマト
23,1,13,1977,460,230,2,13,畜産,1315,豚肉,131513,輸入豚
23,1,13,1977,460,230,2,13,畜産,1315,豚肉,131513,輸入豚
23,1,13,1977,270,270,1,16,加工食品,1616,調味料,161627,ドレッシング
24,1,14,1557,90,90,1,11,農産,1111,果物,111129,りんご
24,1,14,1557,120,120,1,19,菓子,1917,製菓材料,191712,フルーツ缶
25,1,14,1859,90,45,2,11,農産,1113,野菜,111327,じゃが芋
25,1,14,1859,45,45,1,11,農産,1113,野菜,111363,玉葱
25,1,14,1859,75,75,1,16,加工食品,1616,調味料,161630,ふりかけ
25,1,14,1859,95,95,1,11,農産,1114,野菜加工品,111411,カット野菜ミックス
25,1,14,1859,230,115,2,16,加工食品,1618,乳製品,161816,ヨーグルト
25,1,14,1859,115,115,1,17,即席食品,1714,即席汁物,171411,即席スープ
25,1,14,1859,120,120,1,11,農産,1114,野菜加工品,111411,カット野菜ミックス
25,1,14,1859,145,145,1,15,穀物類,1512,パン,151212,ロールパン
25,1,14,1859,160,160,1,18,惣菜,1813,弁当,181311,パン惣菜
25,1,14,1859,210,210,1,16,加工食品,1616,調味料,161643,焼肉のたれ
25,1,14,1859,370,370,1,11,農産,1112,果物加工品,111132,カットフルーツ
25,1,14,1859,985,985,1,13,畜産,1314,精肉類,131412,羊肉
26,1,14,1558,45,45,1,19,菓子,1915,生菓子,191512,洋風生菓子
26,1,14,1558,50,50,1,19,菓子,1915,生菓子,191512,洋風生菓子
26,1,14,1558,55,55,1,19,菓子,1915,生菓子,191512,洋風生菓子
26,1,14,1558,85,85,1,15,穀物類,1512,パン,151213,菓子パン
26,1,14,1558,95,95,1,15,穀物類,1512,パン,151216,その他パン
26,1,14,1558,95,95,1,15,穀物類,1512,パン,151213,菓子パン
26,1,14,1558,95,95,1,18,惣菜,1813,弁当,181311,パン惣菜
26,1,14,1558,100,100,1,17,即席食品,1712,レトルト惣菜,171223,和風レトルト
26,1,14,1558,100,100,1,17,即席食品,1712,レトルト惣菜,171223,和風レトルト
26,1,14,1558,105,105,1,15,穀物類,1512,パン,151213,菓子パン
26,1,14,1558,120,120,1,15,穀物類,1512,パン,151213,菓子パン
26,1,14,1558,120,120,1,15,穀物類,1512,パン,151215,調理パン
26,1,14,1558,120,120,1,15,穀物類,1512,パン,151215,調理パン
26,1,14,1558,140,140,1,15,穀物類,1512,パン,151213,菓子パン
26,1,14,1558,195,195,1,11,農産,1111,果物,111121,バナナ
26,1,14,1558,260,260,1,17,即席食品,1714,即席汁物,171413,即席味噌汁
26,1,14,1558,285,285,1,17,即席食品,1714,即席汁物,171413,即席味噌汁
27,1,14,1236,140,70,2,19,菓子,1911,アイスクリーム,191111,アイスクリーム
27,1,14,1236,95,95,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
28,1,14,1119,85,85,1,20,飲料,2012,清涼飲料,201111,コーヒー飲料
28,1,14,1119,90,90,1,11,農産,1113,野菜,111318,キャベツ
28,1,14,1119,95,95,1,11,農産,1113,野菜,111363,玉葱
28,1,14,1119,95,95,1,13,畜産,1313,精肉加工品,131312,鶏卵
28,1,14,1119,95,95,1,19,菓子,1915,生菓子,191512,洋風生菓子
28,1,14,1119,95,95,1,20,飲料,2012,清涼飲料,201111,コーヒー飲料
28,1,14,1119,150,150,1,15,穀物類,1512,パン,151214,食パン
28,1,14,1119,295,295,1,16,加工食品,1617,漬物,161712,梅干
28,1,14,1119,500,500,1,13,畜産,1312,鶏肉,131211,国産鶏
28,1,14,1119,895,895,1,20,飲料,2012,清涼飲料,201214,炭酸飲料
29,1,15,1743,135,45,3,11,農産,1113,野菜,111363,玉葱
29,1,15,1743,190,95,2,16,加工食品,1618,乳製品,161816,ヨーグルト
29,1,15,1743,135,135,1,18,惣菜,1813,弁当,181311,パン惣菜
29,1,15,1743,450,225,2,16,加工食品,1616,調味料,161614,カレールー
29,1,15,1743,535,535,1,13,畜産,1312,鶏肉,131211,国産鶏
29,1,15,1743,570,570,1,16,加工食品,1620,練物,161913,おでん種
30,1,17,1367,90,30,3,11,農産,1113,野菜,111319,キュウリ
30,1,17,1367,165,55,3,20,飲料,2012,清涼飲料,201214,炭酸飲料
30,1,17,1367,160,80,2,20,飲料,2012,清涼飲料,201213,ミネラルウォーター
30,1,17,1367,90,90,1,11,農産,1113,野菜,111349,ブロッコリー
30,1,17,1367,90,90,1,11,農産,1113,野菜,111351,ホウレン草
30,1,17,1367,190,95,2,12,水産,1211,塩干加工品,121127,もずく
30,1,17,1367,95,95,1,16,加工食品,1620,練物,162016,ちくわ
30,1,17,1367,195,195,1,13,畜産,1312,鶏肉,131211,国産鶏
30,1,17,1367,195,195,1,19,菓子,1914,つまみ菓子,191414,その他つまみ菓子
30,1,17,1367,265,265,1,16,加工食品,1616,調味料,161633,マヨネーズ
30,1,17,1367,285,285,1,12,水産,1211,塩干加工品,121117,水産塩干し
30,1,17,1367,295,295,1,17,即席食品,1716,冷凍食品,171614,冷凍米飯
31,1,17,1620,55,55,1,16,加工食品,1614,水物,161413,豆腐
31,1,17,1620,85,85,1,11,農産,1113,野菜,111361,レタス
31,1,17,1620,90,90,1,11,農産,1113,野菜,111370,青葱
31,1,17,1620,100,100,1,11,農産,1113,野菜,111367,小松菜
31,1,17,1620,120,120,1,16,加工食品,1614,水物,161416,油揚げ
31,1,17,1620,145,145,1,11,農産,1113,野菜,111375,長葱
31,1,17,1620,180,180,1,19,菓子,1911,アイスクリーム,191113,マルチパックアイス
31,1,17,1620,185,185,1,21,酒類,2116,酒関連,211612,氷
31,1,17,1620,380,190,2,16,加工食品,1614,水物,161412,ところてん
31,1,17,1620,190,190,1,16,加工食品,1618,乳製品,161813,チーズ
31,1,17,1620,195,195,1,11,農産,1114,野菜加工品,111421,筍水煮
31,1,17,1620,220,220,1,20,飲料,2013,乳系飲料,201311,牛乳
31,1,17,1620,230,230,1,19,菓子,1911,アイスクリーム,191113,マルチパックアイス
31,1,17,1620,230,230,1,11,農産,1113,野菜,111363,玉葱
31,1,17,1620,240,240,1,11,農産,1113,野菜,111373,地場野菜
31,1,17,1620,265,265,1,17,即席食品,1716,冷凍食品,171615,冷凍麺
31,1,17,1620,700,350,2,12,水産,1211,塩干加工品,121117,水産塩干し
31,1,17,1620,380,380,1,12,水産,1212,刺身類,121144,その他刺身
31,1,17,1620,650,650,1,13,畜産,1311,牛肉,131112,国産牛
31,1,17,1620,1580,1580,1,13,畜産,1311,牛肉,131112,国産牛
32,1,17,1587,170,170,1,18,惣菜,1813,弁当,181313,米飯惣菜
32,1,17,1587,170,170,1,18,惣菜,1813,弁当,181313,米飯惣菜
32,1,17,1587,190,190,1,18,惣菜,1811,惣菜,181117,揚物惣菜
32,1,17,1587,285,285,1,16,加工食品,1617,漬物,161711,漬物
32,1,17,1587,330,330,1,18,惣菜,1811,惣菜,181114,焼物惣菜
32,1,17,1587,930,465,2,18,惣菜,1813,弁当,181313,米飯惣菜
33,1,12,1090,60,60,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
33,1,12,1090,60,60,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
33,1,12,1090,70,70,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
33,1,12,1090,70,70,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
33,1,12,1090,70,70,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
33,1,12,1090,75,75,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
33,1,12,1090,240,120,2,11,農産,1111,果物,111117,グレープフルーツ
33,1,12,1090,120,120,1,16,加工食品,1617,漬物,161711,漬物
33,1,12,1090,170,170,1,20,飲料,2012,清涼飲料,201214,炭酸飲料
33,1,12,1090,100,100,1,11,農産,1113,野菜,111311,えのき
33,1,12,1090,125,125,1,21,酒類,2113,ビール類,211312,新ジャンル
33,1,12,1090,140,140,1,15,穀物類,1512,パン,151212,ロールパン
33,1,12,1090,140,140,1,21,酒類,2113,ビール類,211312,新ジャンル
33,1,12,1090,185,185,1,11,農産,1113,野菜,111211,アスパラガス
33,1,12,1090,195,195,1,11,農産,1113,野菜,111376,椎茸
33,1,12,1090,510,255,2,13,畜産,1315,豚肉,131513,輸入豚
33,1,12,1090,270,270,1,16,加工食品,1616,調味料,161627,ドレッシング
33,1,12,1090,270,270,1,16,加工食品,1616,調味料,161627,ドレッシング
33,1,12,1090,285,285,1,13,畜産,1313,精肉加工品,131313,ソーセージ
33,1,12,1090,960,480,2,13,畜産,1311,牛肉,131113,輸入牛
33,1,12,1090,760,760,1,20,飲料,2015,嗜好飲料,201514,レギュラーコーヒー
34,1,17,1756,90,30,3,11,農産,1113,野菜,111319,キュウリ
34,1,17,1756,60,60,1,19,菓子,1912,ゼリー・プリン,191212,プリン
34,1,17,1756,70,70,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
34,1,17,1756,70,70,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
34,1,17,1756,230,230,1,19,菓子,1912,ゼリー・プリン,191211,ゼリー
34,1,17,1756,255,255,1,13,畜産,1312,鶏肉,131212,ブランド鶏
34,1,17,1756,310,310,1,13,畜産,1312,鶏肉,131212,ブランド鶏
34,1,17,1756,320,320,1,13,畜産,1315,豚肉,131512,ブランド豚
34,1,17,1756,35,35,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
34,1,17,1756,35,35,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
34,1,17,1756,60,60,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
34,1,17,1756,65,65,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
34,1,17,1756,70,70,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
34,1,17,1756,70,70,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
34,1,17,1756,70,70,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
34,1,17,1756,70,70,1,19,菓子,1911,アイスクリーム,191111,アイスクリーム
35,1,17,1545,40,20,2,11,農産,1113,野菜,111356,もやし
