Invoice,Item
367,X1134,119
368,X1113,124
369,X1079,115
370,X1106,124
371,X1188,123
372,X1205,105
373,X1023,105
374,X1090,105
375,X1051,129
376,X1083,128
377,X1015,112
378,X1127,122
379,X1207,128
380,X1023,118
381,X1144,110
382,X1070,124
383,X1030,119
384,X1055,119
385,X1219,111
386,X1183,110
387,X1243,126
388,X1034,125
389,X1188,119
390,X1066,123
391,X1197,119
392,X1215,124
393,X1050,101
394,X1109,104
395,X1234,114
396,X1044,119
397,X1020,101
398,X1185,102
399,X1019,119
400,X1114,113
401,X1094,110
402,X1039,116
403,X1161,128
404,X1146,114
405,X1077,121
406,X1223,127
407,X1032,119
408,X1074,130
409,X1142,126
410,X1220,122
411,X1246,120
412,X1123,107
413,X1060,130
414,X1057,119
415,X1203,129
416,X1202,119
417,X1046,129
418,X1053,113
419,X1014,104
420,X1015,108
421,X1047,111
422,X1075,118
423,X1242,123
424,X1189,123
425,X1149,126
426,X1176,109
427,X1010,122
428,X1060,126
429,X1131,125
430,X1020,119
431,X1013,114
432,X1066,118
433,X1118,110
434,X1127,123
435,X1103,124
436,X1164,121
437,X1114,113
438,X1146,109
439,X1111,109
440,X1046,130
441,X1087,107
442,X1022,117
443,X1134,122
444,X1196,114
445,X1130,124
446,X1172,127
447,X1159,103
448,X1232,101
449,X1030,116
450,X1168,118
451,X1075,103
452,X1230,110
453,X1100,108
454,X1140,112
455,X1169,101
456,X1153,125
457,X1023,116
458,X1213,116
459,X1243,116
460,X1180,120
461,X1145,115
462,X1122,125
463,X1227,110
464,X1130,129
465,X1126,121
466,X1026,121
467,X1218,104
468,X1076,106
469,X1156,124
470,X1053,120
471,X1142,117
472,X1162,114
473,X1190,102
474,X1233,122
475,X1031,102
476,X1022,109
477,X1241,127
478,X1201,123
479,X1110,122
480,X1236,106
481,X1222,120
482,X1061,127
483,X1174,109
484,X1248,104
485,X1043,104
486,X1183,124
487,X1116,130
488,X1069,108
489,X1221,105
490,X1088,126
491,X1002,109
492,X1246,121
493,X1224,119
494,X1101,117
495,X1210,116
496,X1196,115
497,X1125,123
498,X1133,115
499,X1196,130
500,X1104,126
501,X1105,103
502,X1065,102
503,X1190,105
504,X1163,123
505,X1208,130
506,X1157,120
507,X1138,114
508,X1182,129
509,X1143,103
510,X1095,118
511,X1022,123
512,X1010,114
513,X1129,130
514,X1124,130
515,X1170,120
516,X1230,120
517,X1071,126
518,X1057,120
519,X1080,121
520,X1037,105
521,X1126,128
522,X1106,125
523,X1080,110
524,X1128,120
525,X1201,116
526,X1195,124
527,X1192,104
528,X1215,121
529,X1222,124
530,X1121,115
531,X1240,116
532,X1182,101
533,X1052,114
534,X1045,123
535,X1136,124
536,X1223,106
537,X1238,109
538,X1112,124
539,X1237,107
540,X1031,103
541,X1094,101
542,X1082,102
543,X1128,102
544,X1130,128
545,X1222,102
546,X1063,122
547,X1139,116
548,X1160,106
549,X1213,103
550,X1177,127
551,X1227,121
552,X1217,127
553,X1111,125
554,X1169,101
555,X1162,115
556,X1070,107
557,X1062,130
558,X1099,126
559,X1073,107
560,X1172,112
561,X1214,123
562,X1195,120
563,X1153,111
564,X1097,107
565,X1243,113
566,X1193,123
567,X1132,106
568,X1006,103
569,X1235,113
570,X1064,120
571,X1207,107
572,X1039,128
573,X1016,104
574,X1007,121
575,X1148,102
576,X1182,119
577,X1119,115
578,X1223,105
579,X1014,126
580,X1103,105
581,X1240,106
582,X1218,112
583,X1121,107
584,X1142,112
585,X1104,108
586,X1093,118
587,X1164,104
588,X1074,130
589,X1073,107
590,X1174,102
591,X1116,130
592,X1139,117
593,X1094,111
594,X1228,102
595,X1218,101
596,X1026,121
597,X1102,104
598,X1008,126
599,X1201,110
600,X1158,129
601,X1081,115
602,X1095,120
603,X1245,104
604,X1220,106
605,X1089,114
606,X1212,125
607,X1108,106
608,X1067,118
609,X1063,113
610,X1128,130
611,X1160,115
612,X1019,120
613,X1134,101
614,X1239,106
615,X1146,105
616,X1226,129
617,X1196,120
618,X1210,103
619,X1082,115
620,X1010,104
621,X1014,120
622,X1049,109
623,X1164,125
624,X1209,125
625,X1245,126
626,X1147,122
627,X1035,105
628,X1089,109
629,X1217,127
630,X1113,104
631,X1110,120
632,X1247,127
633,X1229,108
634,X1186,119
635,X1200,116
636,X1240,102
637,X1216,127
638,X1094,115
639,X1045,118
640,X1184,123
641,X1062,128
642,X1118,129
643,X1225,125
644,X1236,107
645,X1148,129
646,X1216,103
647,X1170,107
648,X1121,106
649,X1103,112
650,X1146,115
651,X1058,127
652,X1116,124
653,X1228,106
654,X1197,113
655,X1067,125
656,X1183,124
657,X1051,114
658,X1064,130
659,X1214,125
660,X1001,126
661,X1242,110
662,X1092,116
663,X1142,105
664,X1121,123
665,X1183,117
666,X1030,106
667,X1084,119
668,X1226,112
669,X1122,104
670,X1005,108
671,X1128,111
672,X1229,126
673,X1195,119
674,X1186,115
675,X1169,127
676,X1018,102
677,X1153,101
678,X1158,112
679,X1128,120
680,X1122,127
681,X1163,119
682,X1141,116
683,X1082,124
684,X1123,111
685,X1115,126
686,X1168,127
687,X1045,116
688,X1056,130
689,X1148,105
690,X1116,129
691,X1212,105
692,X1100,119
693,X1244,103
694,X1147,108
695,X1250,116
696,X1072,104
697,X1247,107
698,X1004,124
699,X1090,128
700,X1123,101
701,X1130,118
702,X1118,114
703,X1149,110
704,X1184,109
705,X1096,106
706,X1188,107
707,X1019,108
708,X1083,120
709,X1143,117
710,X1032,105
711,X1161,109
712,X1051,113
713,X1058,107
714,X1115,104
715,X1239,107
716,X1009,124
717,X1002,114
718,X1216,113
719,X1237,113
720,X1068,119
721,X1168,123
722,X1199,117
723,X1142,125
724,X1073,111
725,X1010,104
726,X1183,120
727,X1048,129
728,X1152,101
729,X1152,108
730,X1116,119
731,X1135,113
732,X1101,127
733,X1173,126
734,X1119,118
735,X1109,110
736,X1071,120
737,X1232,129
738,X1109,101
739,X1205,128
740,X1072,123
741,X1149,124
742,X1163,121
743,X1233,123
744,X1060,109
745,X1142,126
746,X1174,103
747,X1182,103
748,X1238,101
749,X1002,122
750,X1042,106
751,X1144,117
752,X1051,122
753,X1143,126
754,X1037,121
755,X1206,123
756,X1235,111
757,X1139,109
758,X1062,106
759,X1068,127
760,X1167,109
761,X1160,128
762,X1138,113
763,X1235,106
764,X1240,114
765,X1019,129
766,X1203,107
767,X1219,127
768,X1042,111
769,X1166,129
770,X1230,130
771,X1220,126
772,X1174,130
773,X1045,130
774,X1129,106
775,X1220,102
776,X1125,116
777,X1147,120
778,X1152,117
779,X1033,106
780,X1157,113
781,X1053,108
782,X1124,104
783,X1191,113
784,X1130,115
785,X1068,122
786,X1123,128
787,X1144,103
788,X1049,112
789,X1066,126
790,X1211,118
791,X1114,123
792,X1010,122
793,X1136,128
794,X1227,130
795,X1163,115
796,X1045,124
797,X1043,103
798,X1113,107
799,X1124,122
800,X1196,108
801,X1207,114
802,X1018,113
803,X1081,120
804,X1095,105
805,X1162,127
806,X1046,119
807,X1104,111
808,X1198,109
809,X1033,108
810,X1042,109
811,X1078,116
812,X1110,130
813,X1200,102
814,X1237,101
815,X1248,126
816,X1223,125
817,X1201,104
818,X1024,118
819,X1132,122
820,X1060,130
821,X1119,122
822,X1198,107
823,X1167,116
824,X1043,108
825,X1087,104
826,X1036,103
827,X1196,124
828,X1042,115
829,X1061,112
830,X1243,107
831,X1243,101
832,X1076,116
833,X1185,124
834,X1043,130
835,X1231,103
836,X1062,113
837,X1086,117
838,X1089,116
839,X1078,114
840,X1208,120
841,X1034,118
842,X1007,118
843,X1024,122
844,X1159,121
845,X1210,114
846,X1020,107
847,X1021,101
848,X1115,124
849,X1013,120
850,X1042,102
851,X1147,114
852,X1242,114
853,X1159,120
854,X1166,114
855,X1217,101
856,X1171,123
857,X1034,122
858,X1015,114
859,X1032,125
860,X1078,113
861,X1104,116
862,X1136,113
863,X1059,116
864,X1148,127
865,X1136,116
866,X1221,125
867,X1016,126
868,X1200,130
869,X1100,121
870,X1243,111
871,X1135,114
872,X1051,118
873,X1007,120
874,X1038,127
875,X1217,103
876,X1113,123
877,X1112,112
878,X1163,128
879,X1081,114
880,X1092,103
881,X1097,129
882,X1094,128
883,X1204,111
884,X1165,108
885,X1201,129
886,X1201,126
887,X1009,106
888,X1107,126
889,X1035,115
890,X1086,119
891,X1128,120
892,X1088,109
893,X1125,119
894,X1082,127
895,X1191,106
896,X1034,124
897,X1155,108
898,X1012,116
899,X1246,111
900,X1184,102
901,X1054,125
902,X1058,105
903,X1155,129
904,X1156,116
905,X1196,121
906,X1138,123
907,X1031,108
908,X1194,118
909,X1002,105
910,X1210,127
911,X1164,113
912,X1156,101
913,X1190,102
914,X1015,101
915,X1093,122
916,X1186,127
917,X1065,111
918,X1045,110
919,X1146,101
920,X1127,116
921,X1200,124
922,X1041,113
923,X1096,105
924,X1190,105
925,X1130,119
926,X1020,106
927,X1132,129
928,X1194,105
929,X1241,122
930,X1134,109
931,X1080,127
932,X1072,102
933,X1054,107
934,X1141,104
935,X1165,117
936,X1143,104
937,X1110,128
938,X1197,122
939,X1223,120
940,X1087,123
941,X1240,105
942,X1132,104
943,X1151,120
944,X1233,123
945,X1152,124
946,X1214,124
947,X1234,123
948,X1122,101
949,X1190,122
950,X1169,106
951,X1057,115
952,X1145,108
953,X1204,128
954,X1055,129
955,X1145,122
956,X1082,114
957,X1154,107
958,X1150,118
959,X1057,128
960,X1205,125
961,X1190,128
962,X1152,103
963,X1083,101
964,X1199,106
965,X1009,124
966,X1070,124
967,X1023,129
968,X1114,117
969,X1034,128
970,X1231,102
971,X1030,122
972,X1218,104
973,X1120,126
974,X1146,121
975,X1102,113
976,X1015,104
977,X1163,112
978,X1081,107
979,X1207,118
980,X1190,122
981,X1200,112
982,X1021,115
983,X1076,128
984,X1195,129
985,X1066,101
986,X1041,118
987,X1229,127
988,X1054,119
989,X1142,107
990,X1072,122
991,X1057,122
992,X1094,103
993,X1212,130
994,X1086,112
995,X1026,130
996,X1010,101
997,X1191,122
998,X1169,111
999,X1033,120
1000,X1078,109
1001,X1168,108
1002,X1198,108
1003,X1216,129
1004,X1197,106
1005,X1231,103
1006,X1219,109
1007,X1194,128
1008,X1204,103
1009,X1061,104
1010,X1009,124
1011,X1175,129
1012,X1212,102
1013,X1071,129
1014,X1080,122
1015,X1077,126
1016,X1216,115
1017,X1157,120
1018,X1187,114
1019,X1196,104
1020,X1155,106
1021,X1120,107
1022,X1061,110
1023,X1015,111
1024,X1199,119
1025,X1247,121
1026,X1084,128
1027,X1244,105
1028,X1040,122
1029,X1014,101
1030,X1183,105
1031,X1217,125
1032,X1007,117
1033,X1143,127
1034,X1203,115
1035,X1041,115
1036,X1153,129
1037,X1046,128
1038,X1160,125
1039,X1104,110
1040,X1034,124
1041,X1122,124
1042,X1234,116
1043,X1089,126
1044,X1222,119
1045,X1085,123
1046,X1009,123
1047,X1167,114
1048,X1244,113
1049,X1167,121
1050,X1198,106
1051,X1202,101
1052,X1019,122
1053,X1090,105
1054,X1124,106
1055,X1111,125
1056,X1128,106
1057,X1112,127
1058,X1026,127
1059,X1069,109
1060,X1212,122
1061,X1062,121
1062,X1197,110
1063,X1093,130
1064,X1202,109
1065,X1106,105
1066,X1082,130
1067,X1113,115
1068,X1103,102
1069,X1077,119
1070,X1191,117
1071,X1130,116
1072,X1225,105
1073,X1045,129
1074,X1039,110
1075,X1193,102
1076,X1153,120
1077,X1229,114
1078,X1084,113
1079,X1004,119
1080,X1200,109
1081,X1250,122
1082,X1055,117
1083,X1146,130
1084,X1048,106
1085,X1173,130
1086,X1192,130
1087,X1018,127
1088,X1207,103
1089,X1046,124
1090,X1117,112
1091,X1078,122
1092,X1004,130
1093,X1177,106
1094,X1111,121
1095,X1231,125
1096,X1016,113
1097,X1030,129
1098,X1129,108
1099,X1062,115
1100,X1169,124
1101,X1070,123
1102,X1165,107
1103,X1192,113
1104,X1207,103
1105,X1104,126
1106,X1153,115
1107,X1247,123
1108,X1087,107
1109,X1014,121
1110,X1042,117
1111,X1124,107
1112,X1145,104
1113,X1097,105
1114,X1089,126
1115,X1228,118
1116,X1208,101
1117,X1049,127
1118,X1147,120
1119,X1232,103
1120,X1207,111
1121,X1042,108
1122,X1126,121
1123,X1166,118
1124,X1083,111
1125,X1058,113
1126,X1070,112
1127,X1223,107
1128,X1126,115
1129,X1062,105
1130,X1116,102
1131,X1033,128
1132,X1080,117
1133,X1225,113
1134,X1199,129
1135,X1076,124
1136,X1127,118
1137,X1217,107
1138,X1217,124
1139,X1071,111
1140,X1233,120
1141,X1133,112
1142,X1042,127
1143,X1238,122
1144,X1089,120
1145,X1194,118
1146,X1181,123
1147,X1095,104
1148,X1041,114
1149,X1095,121
1150,X1241,121
1151,X1234,102
1152,X1093,121
1153,X1142,115
1154,X1047,126
1155,X1087,110
1156,X1022,112
1157,X1085,124
1158,X1016,102
1159,X1138,128
1160,X1134,121
1161,X1093,124
1162,X1194,112
1163,X1075,103
1164,X1238,121
1165,X1030,120
1166,X1089,110
1167,X1080,121
1168,X1050,105
1169,X1138,106
1170,X1115,101
1171,X1141,122
1172,X1118,128
1173,X1070,127
1174,X1214,111
1175,X1193,106
1176,X1243,117
1177,X1247,117
1178,X1003,114
1179,X1086,122
1180,X1190,127
1181,X1079,120
1182,X1244,108
1183,X1222,112
1184,X1068,110
1185,X1038,118
1186,X1206,115
1187,X1213,107
1188,X1018,116
1189,X1174,124
1190,X1137,121
1191,X1230,109
1192,X1227,118
1193,X1234,113
1194,X1086,126
1195,X1122,122
1196,X1142,102
1197,X1130,119
1198,X1008,101
1199,X1140,117
1200,X1209,125
1201,X1014,110
1202,X1222,116
1203,X1224,105
1204,X1133,124
1205,X1036,109
1206,X1191,118
1207,X1015,111
1208,X1204,126
1209,X1040,128
1210,X1021,129
1211,X1099,109
1212,X1037,116
1213,X1187,106
1214,X1087,121
1215,X1075,128
1216,X1218,106
1217,X1146,119
1218,X1157,104
1219,X1145,109
1220,X1203,126
1221,X1136,114
1222,X1218,129
1223,X1230,101
1224,X1091,125
1225,X1166,120
1226,X1150,119
1227,X1012,110
1228,X1108,112
1229,X1226,108
1230,X1178,115
1231,X1097,130
1232,X1206,109
1233,X1085,127
1234,X1195,122
1235,X1243,123
1236,X1236,118
1237,X1183,104
1238,X1180,122
1239,X1146,123
1240,X1024,129
1241,X1234,110
1242,X1094,113
1243,X1175,117
1244,X1217,116
1245,X1176,123
1246,X1165,117
1247,X1127,103
1248,X1082,114
1249,X1079,113
1250,X1114,126
1251,X1015,129
1252,X1010,116
1253,X1059,123
1254,X1039,104
1255,X1138,105
1256,X1147,101
1257,X1069,112
1258,X1205,112
1259,X1013,102
1260,X1055,107
1261,X1104,112
1262,X1059,116
1263,X1029,115
1264,X1082,102
1265,X1184,115
1266,X1202,107
1267,X1083,111
1268,X1154,123
1269,X1165,118
1270,X1244,130
1271,X1230,125
1272,X1135,104
1273,X1115,108
1274,X1103,121
1275,X1095,123
1276,X1218,103
1277,X1125,120
1278,X1044,106
1279,X1170,126
1280,X1143,103
1281,X1047,110
1282,X1046,115
1283,X1071,101
1284,X1027,105
1285,X1239,109
1286,X1096,125
1287,X1060,128
1288,X1176,106
1289,X1032,125
1290,X1097,124
1291,X1044,101
1292,X1238,102
1293,X1095,123
1294,X1086,123
1295,X1045,103
1296,X1091,109
1297,X1039,117
1298,X1001,101
1299,X1038,121
1300,X1248,114
1301,X1074,129
1302,X1208,122
1303,X1157,104
1304,X1037,116
1305,X1182,107
1306,X1112,105
1307,X1086,128
1308,X1199,113
1309,X1034,126
1310,X1247,108
1311,X1242,116
1312,X1162,116
1313,X1179,105
1314,X1116,115
1315,X1243,128
1316,X1235,127
1317,X1063,108
1318,X1195,129
1319,X1204,122
1320,X1096,128
1321,X1122,109
1322,X1017,126
1323,X1098,112
1324,X1214,126
1325,X1107,110
1326,X1012,117
1327,X1218,125
1328,X1006,103
1329,X1115,120
1330,X1242,110
1331,X1067,125
1332,X1057,104
1333,X1247,130
1334,X1033,105
1335,X1056,126
1336,X1229,124
1337,X1250,112
1338,X1061,104
1339,X1004,116
1340,X1133,108
1341,X1186,110
1342,X1027,118
1343,X1136,121
1344,X1018,126
1345,X1076,104
1346,X1140,111
1347,X1145,121
1348,X1008,120
1349,X1194,102
1350,X1056,102
1351,X1141,105
1352,X1050,129
1353,X1168,115
1354,X1024,119
1355,X1162,124
1356,X1023,106
1357,X1008,130
1358,X1240,115
1359,X1110,119
1360,X1095,121
1361,X1006,118
1362,X1076,124
1363,X1012,115
1364,X1144,120
1365,X1082,119
1366,X1015,105
1367,X1154,107
1368,X1222,122
1369,X1180,110
1370,X1002,107
1371,X1233,124
1372,X1171,121
1373,X1049,113
1374,X1048,114
1375,X1223,102
1376,X1019,121
1377,X1239,104
1378,X1130,103
1379,X1068,119
1380,X1034,112
1381,X1024,125
1382,X1105,122
1383,X1151,125
1384,X1073,107
1385,X1127,112
1386,X1066,128
1387,X1207,111
1388,X1089,103
1389,X1166,129
1390,X1130,127
1391,X1147,105
1392,X1143,109
1393,X1037,128
1394,X1039,111
1395,X1025,115
1396,X1126,122
1397,X1179,107
1398,X1115,108
1399,X1199,110
1400,X1153,115
1401,X1024,105
1402,X1178,103
1403,X1161,103
1404,X1051,104
1405,X1204,109
1406,X1111,113
1407,X1035,122
1408,X1190,123
1409,X1126,116
1410,X1064,112
1411,X1127,108
1412,X1138,103
1413,X1150,103
1414,X1123,109
1415,X1099,104
1416,X1173,111
1417,X1110,127
1418,X1100,119
1419,X1013,106
1420,X1065,109
1421,X1060,123
1422,X1015,114
1423,X1073,107
1424,X1119,120
1425,X1091,117
1426,X1232,113
1427,X1137,127
1428,X1026,101
1429,X1099,130
1430,X1180,116
1431,X1240,109
1432,X1223,105
1433,X1189,115
1434,X1092,103
1435,X1230,126
1436,X1249,126
1437,X1227,104
1438,X1057,101
1439,X1055,124
1440,X1236,115
1441,X1122,106
1442,X1204,125
1443,X1124,113
1444,X1213,101
1445,X1229,126
1446,X1247,108
1447,X1172,104
1448,X1140,103
1449,X1048,121
1450,X1143,118
1451,X1050,107
1452,X1187,129
1453,X1178,123
1454,X1076,119
1455,X1111,127
1456,X1034,119
1457,X1123,125
1458,X1028,105
1459,X1221,121
1460,X1209,112
1461,X1174,121
1462,X1125,128
1463,X1157,124
1464,X1154,101
1465,X1024,111
1466,X1227,130
1467,X1013,127
1468,X1027,126
1469,X1001,120
1470,X1222,104
1471,X1018,122
1472,X1107,129
1473,X1078,115
1474,X1077,108
1475,X1161,124
1476,X1106,129
1477,X1054,113
1478,X1193,117
1479,X1070,122
1480,X1009,127
1481,X1182,108
1482,X1116,129
1483,X1076,125
1484,X1234,106
1485,X1096,119
1486,X1167,114
1487,X1018,126
1488,X1202,114
1489,X1091,102
1490,X1073,124
1491,X1180,129
1492,X1204,129
1493,X1149,101
1494,X1200,130
1495,X1083,116
1496,X1030,101
1497,X1208,102
1498,X1012,117
1499,X1049,117
1500,X1227,129
1501,X1101,121
1502,X1185,121
1503,X1008,112
1504,X1179,122
1505,X1139,112
1506,X1076,117
1507,X1039,111
1508,X1186,101
1509,X1082,123
1510,X1074,111
1511,X1030,130
1512,X1179,107
1513,X1120,122
1514,X1150,104
1515,X1005,107
1516,X1145,103
1517,X1043,113
1518,X1168,109
1519,X1124,113
1520,X1127,103
1521,X1110,114
1522,X1203,119
1523,X1126,104
1524,X1175,129
1525,X1031,130
1526,X1057,123
1527,X1222,115
1528,X1200,101
1529,X1014,124
1530,X1224,123
1531,X1196,118
1532,X1013,129
1533,X1059,109
1534,X1016,107
1535,X1141,102
1536,X1053,112
1537,X1226,126
1538,X1077,107
1539,X1098,127
1540,X1239,111
1541,X1091,112
1542,X1224,102
1543,X1240,114
1544,X1236,118
1545,X1073,107
1546,X1143,119
1547,X1236,128
1548,X1195,130
1549,X1069,114
1550,X1025,123
1551,X1169,101
1552,X1113,108
1553,X1237,101
1554,X1156,111
1555,X1129,118
1556,X1014,105
1557,X1011,109
1558,X1058,128
1559,X1167,121
1560,X1220,128
1561,X1127,128
1562,X1174,106
1563,X1051,125
1564,X1168,123
1565,X1214,129
1566,X1091,108
1567,X1165,114
1568,X1015,122
1569,X1023,118
1570,X1201,122
1571,X1021,116
1572,X1069,112
1573,X1005,123
1574,X1074,104
1575,X1111,124
1576,X1242,125
1577,X1188,113
1578,X1085,105
1579,X1182,119
1580,X1172,110
1581,X1247,111
1582,X1172,116
1583,X1057,123
1584,X1210,126
1585,X1076,128
1586,X1178,114
1587,X1147,107
1588,X1225,101
1589,X1114,103
1590,X1004,110
1591,X1017,101
1592,X1086,123
1593,X1110,105
1594,X1178,108
1595,X1102,125
1596,X1010,112
1597,X1124,106
1598,X1204,121
1599,X1177,125
1600,X1175,116
1601,X1187,103
1602,X1204,119
1603,X1173,116
1604,X1037,118
1605,X1089,111
1606,X1212,106
1607,X1107,125
1608,X1098,110
1609,X1168,114
1610,X1227,102
1611,X1146,129
1612,X1051,118
1613,X1024,108
1614,X1246,123
1615,X1202,125
1616,X1087,103
1617,X1119,130
1618,X1213,125
1619,X1005,119
1620,X1083,112
1621,X1025,109
1622,X1172,110
1623,X1087,121
1624,X1164,113
1625,X1045,117
1626,X1123,119
1627,X1125,107
1628,X1100,127
1629,X1086,108
1630,X1029,109
1631,X1248,108
1632,X1039,117
1633,X1055,128
1634,X1246,123
1635,X1071,109
1636,X1176,106
1637,X1190,108
1638,X1189,105
1639,X1117,107
1640,X1112,102
1641,X1056,125
1642,X1181,124
1643,X1216,110
1644,X1200,128
1645,X1009,105
1646,X1070,129
1647,X1245,127
1648,X1037,126
1649,X1246,117
1650,X1013,108
1651,X1073,110
1652,X1120,116
1653,X1115,108
1654,X1188,104
1655,X1015,104
1656,X1066,124
1657,X1004,111
1658,X1213,102
1659,X1005,101
1660,X1060,130
1661,X1210,104
1662,X1013,124
1663,X1031,107
1664,X1046,123
