,Receipt No.,Date,Time,Customer ID,Price before tax,Unit price before tax,Number,Category No.,Category name,Subcategory No.,Subcategory,Subsubcategory No.,Subsubcategory,Subsubcategory_ID
4430,447,2,19,1517,265,265,1,21,Liquor,2113,Beer,211311,Beer,22
4431,447,2,19,1517,955,955,1,21,Liquor,2118,Sake,211811,Refined sake,364
4477,452,2,19,1898,205,205,1,21,Liquor,2113,Beer,211311,Beer,22
4487,453,2,19,1090,175,175,1,21,Liquor,2113,Beer,211311,Beer,22
4497,454,2,19,1937,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
4538,460,2,19,1616,300,150,2,21,Liquor,2113,Beer,211312,New genre,252
4591,468,2,13,1624,180,180,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
4635,475,2,15,1995,345,115,3,21,Liquor,2113,Beer,211312,New genre,252
4685,481,2,16,1551,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
4832,497,3,14,1148,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
4833,497,3,14,1148,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
5176,526,3,18,1590,625,625,1,21,Liquor,2115,Wine,211513,Imported wine,181
5192,528,3,19,1885,230,115,2,21,Liquor,2116,Liquor and etc.,211611,Mixer,241
5224,530,3,19,1307,190,190,1,21,Liquor,2113,Beer,211311,Beer,22
5227,530,3,19,1307,210,210,1,21,Liquor,2118,Sake,211811,Refined sake,364
5277,536,3,20,1576,160,160,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
5324,540,3,9,1649,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
5330,540,3,9,1649,190,190,1,21,Liquor,2113,Beer,211311,Beer,22
5344,543,3,9,1470,95,95,1,21,Liquor,2118,Sake,211811,Refined sake,364
5385,548,3,10,1388,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
5391,548,3,10,1388,190,190,1,21,Liquor,2113,Beer,211311,Beer,22
5527,560,3,12,1256,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
5534,560,3,12,1256,2270,1135,2,21,Liquor,2113,Beer,211311,Beer,22
5618,568,3,15,1420,380,190,2,21,Liquor,2113,Beer,211311,Beer,22
5683,576,3,16,1746,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
5684,576,3,16,1746,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
5687,577,3,17,1014,230,115,2,21,Liquor,2113,Beer,211312,New genre,252
5689,577,3,17,1014,185,185,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
5827,590,3,19,1770,700,700,1,21,Liquor,2113,Beer,211313,Low-malt beer,226
5828,590,3,19,1770,700,700,1,21,Liquor,2113,Beer,211313,Low-malt beer,226
5840,592,3,19,1937,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
5841,592,3,19,1937,185,185,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
5850,593,3,19,1600,1290,645,2,21,Liquor,2113,Beer,211312,New genre,252
5893,597,3,20,1103,260,130,2,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
5895,597,3,20,1103,160,160,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
5896,597,3,20,1103,160,160,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
6043,609,3,10,1168,200,100,2,21,Liquor,2113,Beer,211312,New genre,252
6127,621,3,11,1962,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
6129,621,3,11,1962,250,250,1,21,Liquor,2113,Beer,211311,Beer,22
6137,623,3,11,1056,795,795,1,21,Liquor,2115,Wine,211512,Japanese wine,208
6138,623,3,11,1056,950,950,1,21,Liquor,2117,Shochu,211712,Korui-Shochu,217
6156,624,3,11,1016,100,100,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
6184,629,3,18,1497,150,150,1,21,Liquor,2113,Beer,211312,New genre,252
6185,629,3,18,1497,150,150,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
6209,632,3,18,1848,100,100,1,21,Liquor,2116,Liquor and etc.,211611,Mixer,241
6216,633,3,18,1090,175,175,1,21,Liquor,2113,Beer,211311,Beer,22
6354,648,3,20,1161,165,165,1,21,Liquor,2117,Shochu,211712,Korui-Shochu,217
6370,650,3,20,1818,695,695,1,21,Liquor,2118,Sake,211811,Refined sake,364
6371,650,3,20,1818,760,760,1,21,Liquor,2118,Sake,211811,Refined sake,364
6419,655,3,21,1514,560,560,1,21,Liquor,2115,Wine,211513,Imported wine,181
6445,660,3,11,1156,645,645,1,21,Liquor,2113,Beer,211312,New genre,252
6491,666,3,13,1296,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
6595,676,3,14,1481,95,95,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
6596,676,3,14,1481,95,95,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
6598,676,3,14,1481,160,160,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
6767,694,3,17,1617,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
6805,698,3,18,1728,1045,1045,1,21,Liquor,2113,Beer,211313,Low-malt beer,226
6834,701,3,18,1517,200,200,1,21,Liquor,2113,Beer,211313,Low-malt beer,226
6873,705,3,19,1134,110,110,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
6874,705,3,19,1134,220,110,2,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
6885,706,3,19,1206,500,250,2,21,Liquor,2113,Beer,211311,Beer,22
6909,709,3,11,1908,850,850,1,21,Liquor,2113,Beer,211312,New genre,252
7056,722,3,17,1427,110,110,1,21,Liquor,2112,Non-alcoholic drinks,211212,Alcohol-free beer,1
7125,726,3,18,1778,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
7234,734,4,13,1622,600,600,1,21,Liquor,2113,Beer,211312,New genre,252
7377,745,4,15,1296,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
7407,747,4,16,1529,100,100,1,21,Liquor,2116,Liquor and etc.,211611,Mixer,241
7478,753,4,17,1926,845,845,1,21,Liquor,2118,Sake,211811,Refined sake,364
7515,757,4,18,1360,890,890,1,21,Liquor,2113,Beer,211312,New genre,252
7546,760,4,18,1106,380,95,4,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
7587,765,4,19,1857,600,600,1,21,Liquor,2113,Beer,211312,New genre,252
7622,769,4,12,1514,165,165,1,21,Liquor,2113,Beer,211312,New genre,252
7624,769,4,12,1514,560,560,1,21,Liquor,2115,Wine,211513,Imported wine,181
7625,769,4,12,1514,150,150,1,21,Liquor,2113,Beer,211312,New genre,252
7629,770,4,19,1995,230,115,2,21,Liquor,2113,Beer,211312,New genre,252
7632,771,4,20,1161,165,165,1,21,Liquor,2117,Shochu,211712,Korui-Shochu,217
7642,774,4,20,1074,450,150,3,21,Liquor,2113,Beer,211312,New genre,252
7661,776,4,20,1885,500,250,2,21,Liquor,2113,Beer,211311,Beer,22
7676,778,4,20,1705,110,110,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
7683,779,4,20,1962,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
7687,779,4,20,1962,250,250,1,21,Liquor,2113,Beer,211311,Beer,22
7688,780,4,20,1103,115,115,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
7689,780,4,20,1103,260,130,2,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
7690,780,4,20,1103,155,155,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
7881,810,4,14,1649,190,190,1,21,Liquor,2113,Beer,211311,Beer,22
7882,810,4,14,1649,190,190,1,21,Liquor,2113,Beer,211311,Beer,22
7886,810,4,14,1649,265,265,1,21,Liquor,2113,Beer,211311,Beer,22
8034,826,4,17,1617,95,95,1,21,Liquor,2112,Non-alcoholic drinks,211211,Alcohol-free cocktails,2
8035,826,4,17,1617,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
8036,826,4,17,1617,110,110,1,21,Liquor,2112,Non-alcoholic drinks,211212,Alcohol-free beer,1
8037,826,4,17,1617,150,150,1,21,Liquor,2112,Non-alcoholic drinks,211212,Alcohol-free beer,1
8123,835,4,18,1004,600,600,1,21,Liquor,2113,Beer,211312,New genre,252
8134,836,4,19,1937,110,110,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
8146,838,4,19,1462,150,150,1,21,Liquor,2113,Beer,211312,New genre,252
8189,842,4,19,1158,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
8379,860,4,18,1590,890,890,1,21,Liquor,2113,Beer,211312,New genre,252
8427,865,4,18,1082,175,175,1,21,Liquor,2113,Beer,211311,Beer,22
8454,867,4,19,1822,380,190,2,21,Liquor,2113,Beer,211311,Beer,22
8460,867,4,19,1822,800,800,1,21,Liquor,2115,Wine,211512,Japanese wine,208
8468,869,4,19,1881,140,140,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
8511,874,4,19,1760,650,650,1,21,Liquor,2113,Beer,211312,New genre,252
8560,881,4,20,1517,200,200,1,21,Liquor,2113,Beer,211313,Low-malt beer,226
8582,883,4,20,1097,175,175,1,21,Liquor,2113,Beer,211311,Beer,22
8583,883,4,20,1097,350,175,2,21,Liquor,2113,Beer,211311,Beer,22
8631,886,4,20,1576,160,160,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
8638,887,4,20,1438,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
8643,887,4,20,1438,150,150,1,21,Liquor,2113,Beer,211312,New genre,252
8652,888,4,21,1832,295,295,1,21,Liquor,2118,Sake,211811,Refined sake,364
8741,898,4,12,1704,260,130,2,21,Liquor,2113,Beer,211313,Low-malt beer,226
8815,907,4,15,1208,1150,1150,1,21,Liquor,2119,Wines and spirits,211911,Whisky,450
8849,911,4,16,1982,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
8850,911,4,16,1982,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
8851,911,4,16,1982,230,115,2,21,Liquor,2113,Beer,211312,New genre,252
8852,911,4,16,1982,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
8854,911,4,16,1982,140,140,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
8881,913,4,16,1181,1305,1305,1,21,Liquor,2113,Beer,211311,Beer,22
8885,914,4,16,1635,110,110,1,21,Liquor,2112,Non-alcoholic drinks,211212,Alcohol-free beer,1
8947,921,4,17,1785,230,115,2,21,Liquor,2113,Beer,211312,New genre,252
8948,921,4,17,1785,125,125,1,21,Liquor,2113,Beer,211312,New genre,252
8983,923,4,17,1483,140,140,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
8985,923,4,17,1483,500,250,2,21,Liquor,2113,Beer,211311,Beer,22
9075,930,4,18,1746,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
9076,930,4,18,1746,1485,1485,1,21,Liquor,2117,Shochu,211711,Otsurui-Shochu,318
9129,936,4,19,1327,1150,1150,1,21,Liquor,2119,Wines and spirits,211911,Whisky,450
9171,939,4,10,1655,380,380,1,21,Liquor,2115,Wine,211512,Japanese wine,208
9219,944,4,11,1388,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
9222,944,4,11,1388,190,190,1,21,Liquor,2113,Beer,211311,Beer,22
9259,946,4,12,1761,140,140,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
9372,953,4,14,1190,380,190,2,21,Liquor,2113,Beer,211311,Beer,22
9426,958,4,15,1555,1690,845,2,21,Liquor,2118,Sake,211811,Refined sake,364
9463,963,4,15,1952,370,185,2,21,Liquor,2113,Beer,211311,Beer,22
9496,966,4,16,1790,115,115,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
9497,966,4,16,1790,125,125,1,21,Liquor,2113,Beer,211312,New genre,252
9552,972,4,17,1107,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
9588,976,4,17,1695,115,115,1,21,Liquor,2116,Liquor and etc.,211611,Mixer,241
9595,976,4,17,1695,595,595,1,21,Liquor,2113,Beer,211312,New genre,252
9706,990,5,13,1703,110,110,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
9786,1002,5,17,1746,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
9800,1003,5,18,1174,205,205,1,21,Liquor,2113,Beer,211311,Beer,22
9908,1017,5,20,1494,210,105,2,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
